"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","IP5 Patent families (biotechnology)"
NA,NA,1.88965446463097,0.79008004460869,38.0006304810272,0.32839622009249,19.8601523579742,NA,NA,NA,NA,NA,NA,NA,1234.61113244647,33.2627877686681,2898.76,8011.566,51.1139
NA,NA,1.99599101627074,0.83366924784712,38.271922496466,0.30957708583252,19.6513160440601,NA,NA,NA,NA,NA,NA,NA,1522.13403012054,38.7198987500825,2918.15,8042.293,54.3877
24124.1,38893.4,2.06993289738322,0.92381861193406,33.6064434635346,0.37339520224204,21.389796113112,19395,2368,17414,1.38349418356347,2.08605881084845,0.55840640902635,0.36118958492642,1871.90897383813,42.4608688616666,2901.64,8082.121,54.3001
NA,NA,2.18268260028399,0.98483012259392,34.4461897905188,0.4165030404722,20.0171361250937,NA,NA,NA,NA,NA,NA,NA,2086.90022638329,36.6733882919012,2914.71,8118.245,62.5251
25955.2,42891.3,2.17367986802096,1.02505074221646,32.5849511557761,0.89196284783484,19.3656937190378,20587,2315,20888,1.47263150057916,2.23897383392497,0.57836148689493,0.37843762525879,2561.69788853501,39.3005760879131,2929.99,8169.441,48.6779
28469.6,47625.1,2.38323697651371,1.08729226302991,35.9099208764455,0.43202024607741,18.0355599927693,NA,NA,NA,1.66304947348763,2.53711097068807,0.58657358025305,NA,3006.31734069542,40.0914771775562,2951.15,8225.278,52.5393
29198.7,49377.1,2.37114771200624,1.14718625927844,32.2547588566874,0.9526338720983,18.411553089322,22915,2789,23609,1.66943462499719,2.52707991168312,0.56871581366078,0.39745288378264,4029.40091096408,50.8341501034962,2999.11,8267.948,72.0548
31675.6,53252.3,2.43240310297711,1.18450030141998,32.2980889846334,1.09205038283646,17.9131499610866,24615,2783,25967,1.71627909793665,2.57523308069037,0.57655070919762,0.41625588069384,4806.76121879865,51.1370792602888,3062.42,8295.189,68.4452
34508.3,58014.4,2.585568429515,1.19226025080842,37.0072574939786,0.44554494797339,16.4350839818443,NA,NA,NA,1.79242387200593,2.69984720611763,0.64152632994523,NA,5794.8535881974,52.4108181439999,3121.59,8321.541,61.4159
34663.7,56437.5,2.61357415095429,1.22996476865796,34.914291864228,1.23402602628833,16.7910403362681,26682,3145,29039,1.77956294239221,2.73997735410601,0.67762038593962,0.48499427275039,5062.21242505489,48.718238389143,3074.07,8341.483,56.5427
36580.9,59923.3,2.73784354820918,1.23523771542032,38.2539261433792,0.54212267121555,16.0867743391137,NA,NA,NA,1.87369542897387,2.8861951651049,0.70443415646761,NA,4656.67638825209,43.5880016463273,3086.34,8361.069,59.9341
37113.8,61170.5,2.68163415462669,1.23801980803698,35.7572645379869,1.14025108940129,16.9358659358279,29734,3337,32008,1.84455037917861,2.82326331786942,0.68279822961219,0.5083480514184,5967.84409158219,51.8707858007198,3139.71,8388.534,54.6552
39700.7,65088.2,2.92883736019669,1.33809620273857,37.7505426450068,0.45608020810005,16.106435942049,NA,NA,NA,2.06247467811245,3.16976053095343,0.71602172695418,NA,6728.82314655185,56.3855535840411,3169.37,8426.311,57.4964
40425.6,66186.1,2.96747840565007,1.44656760047452,33.5747186218105,1.06351479352505,16.6143991996057,33643,3472,33781,2.10158001555346,3.23910998347244,0.71864177170092,0.55766011690895,7902.71186152383,62.1860269084121,3176.14,8477.23,40.8333
