"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","IP5 Patent families (biotechnology)"
107900,167940,1.86469275567409,0.83664435131261,29.2907180385289,8.41603424790816,17.4255691768827,NA,NA,NA,1.12438542063535,1.70445800777805,0.52549937408153,NA,1280.0398623671,9.24790815333723,11460.53,30685.73,265.679
114510,179180,2.0283120196755,1.02033748208031,29.1790947996369,7.91942247006441,12.6010461245839,NA,NA,NA,1.25084940443049,1.91028130746371,0.56325925796029,NA,1064.07649556393,7.12402195997061,11485.88,31020.596,373.3619
115960,183240,1.97872633784297,1.01870441177954,31.5856560163154,8.74830047586676,8.17895989123046,NA,NA,NA,1.13875969774316,1.76298547930814,0.62675921348655,NA,1120.86882733586,7.47365737593474,11749.955,31358.418,321.5079
123230,196380,1.97478235484658,0.99382955495215,31.4406058887854,9.48928759467013,8.74002673038759,NA,NA,NA,1.12715595669891,1.73359792295008,0.65127587847862,NA,1136.28928745192,6.44769349155563,11979.85,31641.63,239.6523
130380,210470,2.00416473228975,1.00572575568406,31.0356460137187,9.83170283743769,8.95460849357172,NA,NA,NA,1.13771411486668,1.73464096952601,0.68052506877367,NA,1174.46386582826,5.7273511001162,12204.36,31938.004,243.8729
136700,218590,1.97758971594069,0.97577464947764,31.7881739999286,10.0881418834529,8.77850337222996,NA,NA,NA,1.1036479166255,1.6714178427895,0.6716169334692,NA,1207.33146461493,5.22071155836277,12392.255,32242.364,242.5794
140660,229050,1.94872427216867,0.99677859707132,31.0980432614602,10.0140995219918,7.74442037208983,NA,NA,NA,1.10406934158599,1.66540325173138,0.64508476370906,NA,1225.35695500266,4.78008184600571,12545.615,32570.505,223.6843
151330,248640,1.90857256160027,0.93890686684478,31.9692328183271,9.58311134789558,9.25346297282898,NA,NA,NA,1.06492908946243,1.60450183554933,0.6473970659637,NA,1527.7918938273,5.4641715503463,12797.08,32887.928,263.9909
157200,256650,1.86040124071115,0.92012755585106,34.018405905499,9.3492894540015,7.19001008097298,NA,NA,NA,1.00694345713624,1.51262474564657,0.66107132637152,NA,1042.13525266157,3.61614256446945,12929.26,33245.773,268.2987
150220,236760,1.92227081758238,0.9326481068545,34.554747917289,9.85761226725082,7.0729197782867,NA,NA,NA,1.02324602118843,1.62292125826488,0.69020298398905,NA,823.199669151609,3.12323674864748,12506.515,33628.571,233.395
158660,233060,1.82958011707869,0.86298905621101,34.8832620848405,11.3712594541269,6.5833607365998,NA,NA,NA,0.95076799047006,1.49094610875614,0.67678220115153,NA,565.929976938575,1.91713252219665,12735.855,34005.274,213.3548
165100,239920,1.7913228895527,0.88037827677055,33.7643904746885,11.1212742469642,5.96751301056616,NA,NA,NA,0.95450587907596,1.48285726072535,0.66850441347382,NA,763.99853607792,2.38448194291121,12964.735,34342.78,223.3397
161590,231230,1.78735226090735,0.84501494397655,34.0208717004297,13.0141190914672,5.69367710251688,NA,NA,NA,0.91616889985122,1.43021574847387,0.69985429074263,NA,892.724615891103,2.75444664031621,13136.67,34750.545,180.4069
159190,226620,1.70958998825316,0.79830052842351,33.7299630086313,13.689889025894,5.87546239210851,NA,NA,NA,0.87471561729426,1.36550373134632,0.67487698488193,NA,1227.42688891115,3.89594378005178,13326.88,35155.451,205.9238
