"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","IP5 Patent families (biotechnology)"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4142.68264968005,15397.784,0.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4193.26527097588,15571.679,3.6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4315.75035863039,15745.583,1.0952
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4486.71989693937,15919.479,3.3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4593.15713325037,16090.05447,2.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4774.17292249732,16283.29545,5.3333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4817.77171804524,16426.18131,11.2417
5550.9408607,11023.942953,0.30956537535873,0.12038526455203,35.5812529911922,21.3520217724904,4.17824672500148,1749.8824385,806.18,6881.46,0.10750719515006,0.14657098447523,0.13323408031047,0.05920984451205,NA,NA,4935.23100086178,16598.35175,13.5476
5959.0750767,12571.184758,0.37496788897629,0.16396599986607,33.7616595077427,19.1709326428947,3.3393966049409,1831.2179275,883.08,7371.6,0.15156175305368,0.20926058131289,0.15304103085367,0.06662173884903,NA,NA,5121.18076919861,16763.59525,4.8667
4859,10430,0.35202125310849,0.09491397647119,38.3232121699444,15.6652753432595,19.04894257573,1314,506,6261,0.10322210210645,0.14446444416461,0.14014346429207,0.0582428222858,NA,NA,5046.43157894737,16927.785,12.2976
5440,11491,0.32947489593814,0.08382597310646,40.3582202800398,14.3679650916696,19.8315201966666,1588,505,6659,0.09759018279968,0.13582404752912,0.12694121300301,0.05658011306504,NA,NA,5491.93498452013,17093.32725,5.5
6078.4,13052.05,0.35144205732057,0.1191114866292,33.654774158056,11.1872226298406,21.2657913527333,2185.54,443.37,5969.83,0.11964665171653,0.16749199225548,0.11390226471125,0.0785771758779,NA,NA,5784.65046439628,17267.34425,11
6798.01,14631.3,0.36220470205866,0.12657475335207,35.9602561539526,11.5585580009852,17.5355452623373,2576.21,535.34,6424.79,0.12470110826094,0.17685740563726,0.12412116488797,0.08877577868144,NA,NA,5810.43560371517,17449.97625,9.25
5892.8988747,13228.331793,0.38869966151507,0.13280494244787,38.3725281531508,12.4768970896461,14.9841075340957,1810.776667,1038.346667,6383.0325,0.13604558694563,0.19708862036097,0.15285019669717,0.10969619553854,NA,NA,5966.7,17639.7,9
