"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","IP5 Patent families (biotechnology)"
2666,3710,0.60009214562704,0.14520697068765,59.1646530881248,3.93510528126194,12.7027959957189,507,675,3347,0.1350569827218,0.20459708507635,0.31454605561956,0.21894974039405,NA,NA,457.7,1401.3,1
2631,3694,0.69945311240346,0.23040269517629,52.0366732152871,2.48853962006908,12.5343811393829,676,610,3469,0.23516648847938,0.35200133535015,0.35343681829314,0.22124155421647,NA,NA,454.3,1392.7,3
3059,4129,0.71607976202292,0.20882234162437,53.8461538461539,2.64064293909142,14.3513203215473,725,605,3707,0.21967452630754,0.32689169104726,0.3429948067887,0.2743465173227,NA,NA,449.6,1383.5,1.3333
3017,4144,0.76777068051917,0.25303702031166,48.5949149305107,3.25941502583059,15.1978589184246,NA,NA,NA,0.26015552117352,0.38144386898328,0.36282338410632,NA,45.5531090621727,60.3330370456998,456.3,1375.2,0
3369,4735,0.85191989975542,0.31081250747735,44.1499227205988,2.36476043268924,17.0015455952802,NA,NA,NA,0.33194591457032,0.48934975645017,0.38744579675611,NA,55.9717006639178,54.4819874142321,452.8,1366.3,0.0769
3331,4362,0.92363585271195,0.35552787302084,43.4995856669608,0.95229305939286,17.0558128714337,1402,622,3618,0.41641954416469,0.61157201538762,0.38265378152568,0.27375413587972,66.0848790148099,51.0935123713501,470.6,1358.9,1
3513,4741,1.11665869368328,0.42581906550176,44.5544875764365,1.03701339083775,16.2751098904374,1400,736,3946,0.49619776144363,0.72701109570042,0.45356408627595,0.31096299205747,89.0767226107593,47.0003900887005,495.4,1350.7,5.1364
3690,5002,1.06883942817279,0.44496326579432,45.6459306447127,1.04896172081551,11.6746588930819,1626,740,4320,0.50397142509866,0.74155398367946,0.44677289776731,0.27313070818476,122.617743370547,51.6007967847581,503.2,1342.9,7.25
3979,5086,1.25952286572093,0.50112395688426,50.026100900409,0.82330795986133,9.36378214063915,1986,754,4357,0.54415164694341,0.80862798020693,0.5408623625746,0.33551427074156,173.483963086253,56.9971562996903,501.5,1338.4,7.0288
4314,5430,1.39541350891803,0.53703611830234,48.8158412671555,1.36884078638941,11.3294625501473,2100,723,4485,0.62355045088019,0.99853513856185,0.58829491661598,0.38062856562698,172.815690544366,62.9897772619436,433.9,1335.7,3.8333
4077,5277,1.58161979060136,0.68963796914913,44.1473520318818,0.80387661776356,11.4454999922667,2021,745,4624,0.79341512845848,1.22538436512851,0.60159073742715,0.43014342827796,191.379315020064,62.0442293250203,406.4,1333.3,6.5
4511,5724,2.30654575576288,1.26874577722004,32.7505042312769,0.38413657449435,11.8590462238449,2174,733,4638,1.45698365415252,2.19808743664012,0.64200414578343,0.44216234220361,341.881982186264,63.971069063948,441.1,1329.7,4
4582,5855,2.122648375201,1.08873639570169,38.3061545117387,0.42616826554192,9.9762618181971,2039,726,4742,1.2210672711985,1.84415504580976,0.68203587707075,0.4515510806831,309.275919219995,63.2284791461505,443.7,1325.2,3
4407,5858,1.72600548220818,0.7258220742145,47.2215457639844,0.38169624646444,10.3446276981738,1866,749,4792,0.8237107838363,1.24352662873218,0.72852618256281,0.46673253688858,294.757501934058,68.0886354198168,451.7,1320.2,2
