"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","IP5 Patent families (biotechnology)"
1113947.56383187,2000349.34162281,1.67148778503797,0.92608052590649,35.5482818906341,NA,6.94457821205599,NA,NA,NA,1.06353865753829,1.64636202218784,0.35456098299655,NA,NA,NA,161403.025,482316.645,2725.9247
1156137.99952473,2033187.08812814,1.69198620663906,0.9341403753966,35.1087217859652,2.09479258627857,7.58769336784368,NA,NA,NA,1.07663529206062,1.66473043241221,0.36812766145761,NA,NA,NA,162928.846,483391.155,2694.6162
1209201.18863397,2081570.6326159,1.69652720901532,0.91516508355501,35.5308039595582,NA,8.37328105645921,NA,NA,NA,1.0658987310926,1.65971301925629,0.38191375988908,NA,NA,NA,163256.609566823,489020.22575,2744.9039
1253160.81464385,2100989.99110446,1.68585718821651,0.89986749576667,36.1479704137462,2.18010808592575,8.29039243275834,NA,NA,NA,1.0554957976672,1.65223942646204,0.38375968925338,NA,NA,NA,163108.579153846,490863.298083,2514.2276
1308666.3990109,2143885.48462245,1.66055815581722,0.8932094709305,35.8558736672971,NA,8.12411879917923,NA,NA,NA,1.03994892850699,1.62775454956064,0.37468609720758,NA,NA,NA,163980.012513251,492713.612,2549.0842
1374761.8654586,2201519.5920629,1.66240633144168,0.89306791070134,35.2299063610536,2.31948186516901,8.72867172057919,NA,NA,NA,1.03379620790928,1.62717295122955,0.37570775645176,NA,NA,NA,165441.626543576,494791.394167,2599.8919
1422501.048015,2293678.38694,1.68454293488094,0.92106156759467,34.3251191357977,2.54581010123157,8.4518638400357,NA,NA,NA,1.05658968666791,1.66396577337018,0.37773596656048,NA,NA,NA,168139.91347404,496561.168167,2660.0333
1458114.06527,2370180.130145,1.6934792207607,0.92428660899274,34.172281383252,2.4332466680941,8.81522027358163,NA,NA,NA,1.06553677751844,1.67375592882238,0.38243455595097,NA,NA,NA,171770.725343442,498572.751333,2724.662
1521939.98149976,2462004.62409995,1.7599442375847,0.95533429435188,34.6469120299072,2.58072231249713,8.49025030590999,NA,NA,NA,1.0997860928305,1.73264479986898,0.40586284066358,NA,NA,NA,173477.168,500521.178083,2751.7725
1553690.7745746,2485628.11313506,1.83804694089372,0.9826622753747,35.5831997137081,2.62705066836028,8.32786185060959,NA,NA,NA,1.12131556998689,1.78963822718815,0.44354904548059,NA,NA,NA,168738.33,501987.136333,2725.2739
1601121.88431815,2539520.38584605,1.83676772090133,0.97623749032964,35.4052527853419,2.5332562156075,8.91157269901234,NA,NA,NA,1.12267678429385,1.79717913780259,0.4467580718264,NA,NA,NA,166721.817,503551.663167,2455.937
1626803.7207167,2612979.7463777,1.87786402043414,1.02004848438344,33.8381677351431,2.52817728994259,9.31407517704367,NA,NA,NA,1.17187631968746,1.8773262823005,0.44286632707913,NA,NA,NA,167117.158,504804.143417,2428.9832
1681622.9864524,2671403.76304102,1.91766339415847,1.04392755951913,33.4076320419141,2.34975493802787,9.80512249436704,NA,NA,NA,1.20396326515933,1.93278331276509,0.44943016696969,NA,NA,NA,166280.635,505994.9005,2361.29
1729983.381481,2711401.841499,1.92718959892249,1.0503113864418,33.0257146544508,2.3518135977633,10.1228304819703,NA,NA,NA,1.20959777162028,1.94463136820237,0.4539353360362,NA,NA,NA,165285.897,507034.56825,2366.2213
