"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","IP5 Patent families (biotechnology)"
172070,327466,2.08399228978868,1.09442039772356,38.6619774662721,1.63631094115063,7.18614313036287,86216,27569,93191,1.30265811083664,2.14898872660632,0.39078625708021,0.49183347634119,2644.18444491706,9.27194252041766,17605,60872,376.8652
177372,333518,2.12914363254866,1.15426358044553,36.9217818268837,1.66826049027332,7.19738306833292,94374,23012,95326,1.34544605856811,2.2179408368392,0.40251024679713,0.49630569325709,2695.27789460497,9.15853107135049,17947,61317,392.5908
186420,339847.195,2.16572429573865,1.12845372050589,38.3071978398978,1.6055875800956,7.98207253924577,101690,25973,99354,1.36983200345741,2.26253066620253,0.4084738740694,0.50705437447742,2801.27554581659,8.62072598329531,18021,61764,349.0127
192789.9118,342307.03968,2.11116972245667,1.07200538890633,39.0145278051373,1.84764598213112,8.36003333784673,107400.67,26376,102110,1.3219543139954,2.19889683069368,0.408744025728,0.50839486346353,3233.50961823331,8.28774943860782,17958,62202,349.0254
202377.2,352003.3,2.08635932801796,1.05848190628726,38.7247585625929,1.78584167306089,8.75595744341953,114930.39,26645,103780,1.31657174822886,2.20599258576565,0.38875645911759,0.49574584371858,NA,NA,17959,62661,354.0699
202506.79,349681.26,2.04447481345705,1.06178743754155,38.6339620229529,1.90303598465507,7.52851835127801,112265.95,27671,107356,1.26994403485822,2.15036602836751,0.3849218782626,0.48959895382448,NA,NA,18048,63133,341.7759
210591.0899,365813.9586,2.0452763147458,1.0702201571603,38.511006800234,2.18395574913128,6.97860363607622,128373.86,27441,108763,1.29018484654397,2.20327820815369,0.39275975884748,0.48870004699809,NA,NA,18237,63574,402.3896
221851.0428,375235.4468,2.0200283449917,1.05595876484707,38.1482545435269,2.09703713974314,7.48025546238603,137138.74,28709,108428,1.27219495083956,2.1668924218735,0.39382798727431,0.50294589524431,NA,NA,18510,63967,465.7704
227678.5299,382652.7702,2.05758563018263,1.04564888643936,38.9199017838529,2.29632296174324,7.96455922272155,146488.69,29206,109213,1.29073877295388,2.2023116175886,0.41225783500764,0.52150167597765,NA,NA,18596,64324,469.6847
234366.0471,390213.5298,2.20910475772002,1.15459414228962,38.7107442683302,1.98904716910761,7.03495775203654,156028.93,30487,105508,1.36285204307131,2.35173954057931,0.4595547125167,0.57622160610247,NA,NA,18275,64655,517.0732
243533.2276,397756.2936,2.17509357356913,1.16363461549047,37.1360722880066,1.8235810974796,7.54220613768599,183911.34,27433.2727,109425.5909,1.37377186973506,2.3651278636328,0.4693641820963,0.54612235492857,NA,NA,18276,64974,445.0682
249246.6,402491.7,2.19064072755385,1.20582605410424,35.1490996289772,2.05951411872366,7.74694238814508,197056.26,27625.7,110148.5,1.40100151314729,2.41854655500507,0.45886730533525,0.5330935260508,NA,NA,18481,65294,459.6663
258913,411780,2.22906658539893,1.2333008933222,35.3534726009053,1.72160915540879,7.59678666606964,213180.98,28051.12,111036.32,1.4395027813596,2.49818100323401,0.46427981019,0.53761915235257,NA,NA,18556,65615,446.506
265465.8112,416687.34873,2.23906917176928,1.23312100284788,35.2983892481839,1.74245009901916,7.88623041931572,220320.6,28520.48,113058.14,1.44614481651394,2.51659912333528,0.46751315207237,0.54444237482366,NA,NA,18550,65953,444.7659
