"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","IP5 Patent families (biotechnology)"
NA,NA,NA,NA,NA,NA,NA,3803,NA,NA,0.14131245952572,0.22186178253707,NA,NA,407.588444913667,NA,3449.788,10805.796,0.75
14371.31,30226.29,0.55948388830407,0.18489579115533,46.5930710510863,1.97298884321785,18.381679389313,4375,2868,18998,0.18272750362579,0.29157963374574,0.25132423637852,NA,426.132847401813,55.9257449559601,3462.666,10862.146,4
NA,NA,NA,NA,NA,NA,NA,4473,NA,NA,0.17563847893176,0.28398198458647,NA,NA,542.350654823058,NA,3533.685,10902.005,7.6667
15631.26,31849.19,0.54653661525485,0.15426644075783,46.4204626807666,3.77283233447197,21.5805191351838,4385,3027,20507,0.17522731444317,0.27617212384055,0.25531462062014,NA,592.099627459814,53.6542473767105,3582.116,10928.091,3.6833
NA,NA,0.52730333602603,NA,NA,NA,NA,NA,NA,NA,0.16383277017884,0.25844549545088,0.25398028461414,NA,773.56229784011,60.9905332510989,3585.942,10955.163,3
19592.78411,33602.672343,0.57895618448942,0.17984016122697,46.8156952671379,3.13437999570719,18.987097180692,6357,2916,23984,0.17935732788142,0.29276677926933,0.2749014478652,NA,871.511714669452,60.7528734038295,3648.497,10987.352,5.5
19906.9,35139.7,0.56118204333542,NA,NA,NA,NA,NA,NA,NA,0.16859329667684,0.27386265668172,0.2682896322015,NA,814.787014841585,53.1244887943727,3690.42,11020.393,6.65
21014,35530.96,0.57654971035306,NA,NA,NA,NA,6885,NA,NA,0.16482119142197,0.27529387023087,0.28384845236151,NA,1133.66751638124,61.7397137745975,3729.428,11048.499,8.9444
NA,NA,0.66183206722197,0.19351503153492,62.1821088057344,2.84038162552995,5.7381194702698,NA,NA,NA,0.20695036699286,0.35715887305307,0.22338490392439,NA,1432.16085773018,61.0463482707593,3793.195,11077.863,4.3333
NA,NA,0.62556891428918,0.20946214854226,54.7464904370298,3.06140893979569,8.70829239404014,NA,NA,NA,0.22642214973159,0.399252381413,0.22941119322692,NA,1327.23319179403,64.2960011844355,3762.034,11107.024,3.0769
NA,NA,0.59837691468361,0.21856818904581,48.2580664241564,3.36340312897406,11.8519504332653,NA,NA,NA,0.23598043838397,0.43861310662322,0.21379326017487,NA,1383.89111435854,77.2557891935055,3623.332,11121.383,4.1458
24674.25,36913.33,0.67196247740687,0.21999457131395,49.2384680830998,3.26999178525147,14.75241029693,5858,6094,32842,0.23468343974775,0.44497574319984,0.27026557665696,0.19924781990806,1267.1068924941,65.5210298425109,3353.974,11104.995,4.05
24799.977712,37361.2,0.69956729150887,0.21694117263598,50.3588516746412,2.86333732057416,15.7670454545455,NA,NA,NA,0.23984865422097,0.45940711904464,0.27943989522517,NA,814.088666346239,47.3684210526316,3150.582,11045.04,5.4167
29228.24,42187.62,0.81131209865808,0.24570135244043,52.2723396126004,3.46121568975281,13.9820014055006,6004,8567,38724,0.27051117201909,0.50709790969944,0.303673962982,0.28092332521575,951.724439237278,48.9059610962904,3067.95,10965.241,3
