"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","IP5 Patent families (biotechnology)"
14406,23534,0.79110726837629,0.29868864171843,49.5381809624662,0.30705699721789,10.6293340013436,4750,5366,17760,0.35058658047637,0.55578258557815,0.18958996032531,0.21462952190377,396.60622349258,106.192771863056,3336.149,10210.971,6.9238
14666,22942,0.91400351104779,0.31842288611352,53.6154423876215,0.43163410741566,9.18756916529403,4908,5172,18271,0.36645114922915,0.57063692956097,0.23472589316624,0.26761489977323,275.049759011919,56.0427391443024,3333.783,10187.576,10.8944
14965,23703,0.98424046136813,0.29196267892182,58.5476076892661,0.26447744272766,10.3650080305499,5381,5735,18648,0.34915268285717,0.54493587219088,0.24702806714123,0.28429648888711,426.137920841727,64.0900214417065,3317.244,10158.608,6.8444
15180,23311,0.92136967884635,0.28267241337737,58.0342020868974,0.40267868368787,10.7222444415493,5499,5822,18971,0.33844117117327,0.54211997545558,0.24542766733208,0.28527735998451,568.881843923703,72.5959406357368,3276.777,10129.552,8.7167
14904,22826,0.8634350966032,0.3203609462305,51.8101599004878,0.56234554503116,10.3518846398355,5455,5921,19044,0.35503573835727,0.56288585501316,0.21145341585704,0.28354949138038,2297.90019129041,256.652616768783,3233.203,10107.146,8.4
15878,23239,0.92459539272341,0.36471239433288,49.414528022179,0.3201228316744,10.671194239618,6108,6213,19086,0.39919981494207,0.62749633694535,0.23158722475474,0.24715246712305,2476.37543371789,237.885870506921,3242.455,10087.065,7.9167
17547,25971,0.98519017620238,0.42661452467521,44.7728376840488,0.62936745544922,11.2950361667757,7641,6217,18928,0.47560135539147,0.7362363429918,0.23887291386137,0.23333099860795,2520.81895527354,222.882104548289,3251.476,10071.37,8.9167
17391,25954,0.96122514610503,0.42162323095353,44.4118834577163,0.64063741387619,11.0843704007606,8573,5941,18545,0.48383239998779,0.75366608804267,0.22338170546398,0.2129861534643,3692.70645470182,275.985417562094,3261.042,10055.78,13.4242
18504,27403,0.98400302483744,0.47533698080975,41.8189633166659,0.60077781281439,9.27380362478791,9408,5750,18581,0.51729677464444,0.81411487688714,0.21587518841729,0.21587114335232,4686.96100631368,302.824632490953,3213.768,10038.188,8.8833
20064,29795,1.13759749438462,0.52815995733725,41.9825998709046,0.68592355829866,10.9038112546953,10899,5973,18395,0.65111159987911,1.04679344063936,0.23702644701885,0.25228003416816,3985.21086281454,269.547303153811,3087.284,10022.65,14.7241
21342,31480,1.14528407769356,0.54255867443947,39.337643309946,0.93562274648988,12.3534503184128,12220,6148,17332,0.68503391063247,1.10035595537484,0.22707037852054,0.24926941990955,3812.16849554968,255.542027429761,3032.823,10000.023,6.6875
23019,33960,1.19483038395604,0.5670863731118,38.0977977775421,0.98978627331948,13.4507527100265,13649,6237,17059,0.74583697467684,1.17640104996918,0.23997332196947,0.24880323002297,4340.27103528885,259.297615152912,3051.566,9971.727,12.0676
23837,35732,1.2689351951001,0.59490550729055,36.8672037271979,0.85175732518999,15.398778168044,14742,5726,16551,0.83275187140721,1.33336156433098,0.23264636776458,0.24895952422051,4057.87940990282,251.165041626866,3062.018,9920.362,12
25038,38163,1.39441508776627,0.65260936167998,35.8792174154601,0.75001136633323,16.5691145662119,16010,5770,16023,0.96815322184504,1.54108292233495,0.19989931589092,0.270653921369,5210.3209861642,277.439162266725,3057.19,9893.082,7.5333
