"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","IP5 Patent families (biotechnology)"
NA,NA,2.59489126339213,NA,NA,NA,NA,NA,NA,NA,1.4625233717946,2.3250136752214,0.42129659251676,NA,NA,NA,118,281.15,4.3333
1859.4,2900.5,2.87084082214841,1.32509576275031,33.9976463799716,1.58426186090513,18.2621012338216,1211,678,1018,1.69011375606707,2.61967153562661,0.53937071272687,0.43776079473002,NA,NA,117.7,285.05,4.4167
NA,2797.061,2.85762086201683,NA,NA,NA,NA,NA,NA,NA,1.63449964720043,2.58894995660978,0.45941026142744,0.42977535477406,NA,NA,113.2,287.56,11.5167
1917,2940,2.73547643073375,1.20028830906732,40.1222596964587,1.50505902192243,14.4940978077572,1274,1022,1084,1.41582816779588,2.33918017231853,0.58273028686752,0.4437653164192,NA,NA,110.7,289.27,4.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.2,292.59,4.75
2154.9,3225.8,2.70566038615313,1.29860398329213,40.495113820807,0.32556327817512,11.1834994067594,1439,1026,1249,1.39379076729313,2.35986960569251,0.594190104838,0.50908245587834,NA,NA,116.2,295.86,5.4167
2399.76,3414.51,2.92330228786175,1.44109253863615,39.5582853913958,0.5920620692313,10.5529190260478,1657.7,1138.5,1380.5,1.55515097881021,2.62533228984804,0.69335959100239,0.54334550349262,NA,NA,121.6,304.33,3.0333
2208.3,2982.4,2.57545716732207,1.29674264617478,38.7997947656707,0.80782907766241,10.0423776155101,1575,1044,1261,1.40526416881468,2.30395464335853,0.64750075510318,0.47392254840725,NA,NA,127.3,311.4,8.2429
2307.6735,3116.608,2.52479906331819,1.27123629493746,38.7997948797868,0.8078290143546,10.0423776857429,1645.875,1090.98,1317.745,1.3776232440439,2.23747445889712,0.63476470155998,0.46460070489624,NA,NA,126.4,319.36,11.3333
2505.1,3397,2.65101117968139,1.26734074461335,40.2386678340404,0.57884150353714,11.3765532779688,1077,1230,1349,1.33406178353983,2.1472651692317,0.66630863401779,0.44373204747018,140.595499563585,41.1533818240738,118.1,319.25,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31810110887352,2.09764611362221,0.66884199339255,NA,179.053302501094,NA,116.3,318.01,2.7167
2258.3,3244,2.49325775673857,1.24277658771087,39.9920801227581,1.94484842627796,8.2175797703707,1378.19,506,1310,1.3248353740777,2.08689083518402,0.65748405163421,0.61797089184496,215.18957037766,58.8147526570481,120.5,319.01,5.4167
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239.115234910041,NA,120.6,320.72,1
1848.07,2736.28,1.7629843245867,0.65087387018689,37.2100904856594,5.89161515552317,19.9794255345312,1278,168,1910,0.98449590269252,1.58311453330975,0.65858308984255,0.46549304636847,201.049080518203,73.6721821829928,124,323.76,0.5
