"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","IP5 Patent families (biotechnology)"
8516,12762,1.08495186861292,0.71376712778208,23.4458712475551,1.89641976358534,8.86980185389914,NA,NA,6592,0.77706136894787,1.09832341621303,0.21968791281238,NA,NA,NA,1364.246,3804.248,13.55
8949,13317,1.0532175101635,0.70280106377802,25.5547769212801,1.69742273542007,6.01884294946664,6937,NA,7285,0.73806412765487,1.05254476467355,0.22983566361274,NA,NA,NA,1401.017,3863.809,33.8048
9376,13582,1.05611957964315,0.66980254159566,27.538654408692,1.90137902214793,7.13887728095835,6581,587,8344,0.72688213442217,1.0499979730449,0.23706415398957,0.16733507611737,NA,NA,1402.175,3931.843,15.4495
10039,14450,1.12451075238174,0.67767436837082,29.8326001955034,1.58846529814272,8.31500488758553,6611,666,8600,0.75915468070737,1.1063909663843,0.27783004559708,0.22238769970271,19117.7729226017,1034.88514173998,1416.459,3996.984,27.4484
11010,15713,1.17865580545232,0.69019634945445,31.1454031732232,1.6735492284286,8.62312540752011,7120,588,8933,0.77492584470621,1.13908065570165,0.31509542155204,0.26898389644686,23370.7697751951,1022.71245381439,1470.65,4067.326,20.0154
11587,16690,1.19260396586168,0.68513041625019,32,1.92610837438424,8.6256157635468,7696,457,9500,0.78136121901283,1.14408495740303,0.32317130916149,0.28497833626059,24778.6400039795,981.527093596059,1538.322,4159.986,34.6605
12172,17444,1.19793105984924,0.63995207459942,31.8913798547521,1.78627813613605,12.9008976498714,7969,520,10078,0.79238851827458,1.16403757512245,0.32460270263671,0.27676366985844,27793.0813145733,999.368487527629,1601.498,4269.826,30.6139
12694.7,18157,1.23268171156027,0.61076540395975,32.4259868421053,2.21217105263158,15.8141447368421,8241.8,565,10600,0.81259675985749,1.19409866389674,0.3346826462608,0.27236068076769,31134.4545003507,935.361842105263,1670.303,4400.183,37.0742
14502,20018,1.38826714911064,0.67692409155092,33.6659502609764,1.9611605772183,15.6125268652134,8843,587,11610,0.89867600568196,1.35635950931798,0.39934773597536,0.34699259801007,42545.8853562167,1114.71446116058,1641.304,4496.037,48.6782
14189,19705,1.61195398865814,0.83959074719285,29.795441950375,1.6069859290031,16.5122921994651,8960,587,11353.87,1.10100656021381,1.63908953851663,0.42857923577084,0.33250105993396,42143.8908723629,1108.98844695557,1466.869,4539.145,32.198
14176,19722,1.59731719085961,0.8342374167641,29.4303636603177,1.37815817457387,16.9640670073316,9136.297,607,11057.88,1.09714756513846,1.61017301143319,0.42277495099607,0.30868240247038,44576.1539247442,1260.79558797588,1380.329,4559.773,23.5639
15269,21591,1.54035753789479,0.75287365312912,29.4440901759256,1.3335083836603,20.3458494317116,10618,599,11140.5,1.07447724125779,1.5493262378604,0.39223157584459,0.26701292477796,48897.9538600987,1319.44183952886,1368.72,4577.155,39.3464
16253.021788,23169.187885,1.56929878721218,0.78059647850378,28.169539556837,1.25345801901466,20.8356314279271,NA,558,11222,1.11616727729046,1.61476349920399,0.37843797612994,NA,54349.6694861836,1533.6744882857,1357.35,4590.172,39.4333
16844.3,24129.3,1.58104299718547,0.82288582366439,27.8742524164272,1.46424123982969,18.6144826303279,13750,516,11127.043235,1.12197334031291,1.60113690745848,0.38729493311649,0.3026931771672,57334.4932130917,1515.5907201752,1404.35,4601.827,40.504
