"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","IP5 Patent families (biotechnology)"
66110,150066,1.00545780355125,NA,NA,NA,NA,29706,18512,51953,0.50344303398443,0.77194935219291,0.31188615392834,NA,3505.43309269004,30.5353803680489,17223.6,56942.1,103.6167
66702,153905,1.0449074247546,NA,NA,NA,NA,29360,16226,54856,0.51281471430924,0.78319706734765,0.34013652578178,NA,3439.79024796199,28.3226006100706,17625.2,56979.8,104.5158
71242,164023,1.08482408406839,NA,NA,NA,NA,32047,16086,57533,0.52433721355037,0.80945651226863,0.35607227316034,NA,2993.17209672941,21.7843076817699,17869.4,57099.5,126.8488
70332.3,161827.8,1.06197586319785,NA,NA,NA,NA,30500,17389,56480,0.50183015432716,0.78003486956827,0.35952868952656,NA,3794.88751844596,22.7666057282145,18110.6,57412.6,129.5246
72012.1,164026.3,1.05312018579536,NA,NA,NA,NA,31676,17817,57401,0.50353409263788,0.78839236394601,0.34556261356358,NA,4069.76712422318,21.4885465154396,18223.9,57844.8,162.2491
82488.9,175247.6,1.04709225892009,0.4153114217721,50.6763340769803,1.70013077929072,7.96022770982384,31485,18818,70187,0.52733206192941,0.83140703795545,0.31627974415421,0.29012056247946,4553.24951499776,23.4720555427341,18354.5,58190.6,150.8988
88429.6,192002.4,1.08696084909376,0.43939404093261,46.9737928739907,4.3484460499189,8.25367024531676,35350,23171,72404,0.53021897650892,0.84746670058903,0.32894979016107,0.31186199259219,3989.93611542921,18.8965855281529,18752.6,58428.4,153.2266
93000.1,208376.2,1.13270115141794,0.47595268112528,44.2681308072885,4.18782978816767,9.52477593602247,40782,21570,73739,0.58741235320991,0.92882429579295,0.34141202626223,0.29578438903575,4619.32627328874,18.512308434898,19046.3,58787.4,125.2393
95766.3,221115,1.16366696190226,0.53430110926061,42.0011793942968,4.13419822248431,7.94932816646308,44424,20385,74940,0.6233063636494,0.98954647964299,0.35451993774105,0.30803526242796,15611.4307803255,56.1135219662188,19069.7,59241.9,157.6731
101840.2,226526.6,1.22126423996898,0.53927885555026,42.1474308917695,4.27143526471966,9.42370763704514,45857,20747,77085,0.65091495732346,1.06045319349977,0.36951364895809,0.32671949253798,13328.4913579774,49.9475558332032,18638.2,59578.3,165.6872
103424.3,225631.6,1.22310516733614,0.54625869026939,41.5640334473042,3.95416027597593,9.82017742765568,45901,22336,75690,0.65933962396152,1.07553107843246,0.35197562876496,0.31431937822936,13865.5108843651,53.3459227817722,18482.7,59829.6,152.4994
106151.3,228094,1.20983501515753,0.54549631540143,41.9048388236601,3.94839126528222,9.05828192987593,47816,23715,74749,0.66110198527984,1.07788916737629,0.34621853111909,0.29060811087689,15201.4862547198,55.1990802903496,18521.3,60060,110.6575
110694.8,240179.2,1.27086997155593,0.56283996725887,42.5460309718327,3.71125472503353,9.4549445189611,49950,25930,76654,0.6884919862488,1.13283487226834,0.35628368556933,0.32209215472969,12806.772382435,48.6156761370565,18417,60339.1,122.969
116163.3,246764,1.3076849228233,0.59098252186955,41.441445734901,3.71251149734787,9.65300646710925,52710,27621,77737,0.7154684478452,1.17798805511452,0.37007374614631,0.33183366486994,14274.4618390381,51.2361948425161,17998.9,60646.4,95.2397
