"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","IP5 Patent families (biotechnology)"
NA,NA,0.33415524403743,0.09863203119119,63.0172216067969,6.54411298232943,0.9218366460567,NA,NA,NA,0.09942291380882,0.13524373675463,0.09447052100519,0.10256850673546,406.720773583792,18.7674619480082,26522.3755860695,100896,5.527
23390.307714,43455,0.35325813896969,0.10540942325866,59.0535616886659,9.84007854259846,1.26715392167558,NA,NA,NA,0.10701251462783,0.14701773381765,0.10744411615029,0.10828882198712,328.848388296653,13.4055372531908,26572.4368839118,102122,3.6667
31132,NA,0.39087596540084,0.13560066018452,55.4666634671124,9.07260931199792,0.76924649874689,NA,NA,NA,0.13319777984625,0.18295912277758,0.15449186682179,NA,689.801547403805,24.3650021778064,27030.8752187135,103418,8.3833
33558,59875,0.38892141212975,0.1349411092855,56.1081211757716,8.43974955104197,0.75588857341329,10688,7217,24183,0.13451537057719,0.18815263693766,0.1475175203855,0.09896914450103,NA,NA,27096.854,104720,8.9444
39724,75112,0.39433185477663,0.15227666533107,50.3422394169173,8.22469537961923,2.81669082722242,25061,NA,NA,0.16823905262148,0.2295006159615,0.11950404801747,NA,1355.16216304023,44.6309055703997,28407.832,105952,4.7397
43922,83685,0.40427468386463,0.16781473636765,49.1831595605661,8.22467024087526,1.08209225684396,29191,NA,NA,0.18980289035017,0.25679565426796,0.11622230258636,NA,1847.70583300898,52.8488755001954,28494.833,107151,5.9778
36264,66967,0.37308274055007,0.16871067608687,49.755629330038,3.38728719382402,1.63637028042086,18892,NA,NA,0.18228235664365,0.24370959445125,0.09643234867372,NA,NA,NA,29762.348,108409,4.25
37930,70293,0.42997009686063,0.16697843549245,54.5190861851135,5.46856093535831,1.17745791552415,20323,NA,NA,0.18132714655556,0.24215679929934,0.12152997319525,0.08687995216884,1388.45350290494,30.9568423112781,30260.727,109787,6.875
37638.9043,NA,0.47445666199772,0.15718324687294,58.0858958950022,7.26058523334684,1.52441363133042,14544.33,NA,NA,0.16161120495422,0.21293836316726,0.14816454622487,NA,NA,NA,30733.547,111299,6.1333
42972.6064,NA,0.52063384165489,0.17606103171975,56.3220894263042,8.41057042474253,1.45066946152346,18872.03,NA,NA,0.19085021033681,0.26230729148107,0.15962945583457,0.13351736774244,1822.14744912023,39.1759413416092,29296.632,112853,8.1667
38496.853892,70997.174906,0.53699241508426,0.17640808939087,62.342324114842,4.34149069435484,0.46505277996382,12647.0873,9126,31119,0.18923495751594,0.25715225671537,0.15610537755059,0.15890146669242,656.419874155936,11.6427451981508,29745.271,114256,6.8333
39825.680676,73436.135047,0.51630848255258,0.16689497593399,63.0060540877735,4.09846781862451,0.57081529968221,13708.8313,9279,31880,0.18012625080564,0.240771987892,0.15917866805183,0.15611063806808,773.009158176253,12.8034560331461,30207.232,115683,8.75
29094.004589,58849.404299,0.49366025504012,0.12088095902687,67.8152772016881,7.33583798806549,0.36221451492582,8217.6027,9219,22896,0.1465896054822,0.19480687163142,0.1358312261964,0.1437688195365,562.281516260794,9.61588484165506,31037.936,117054,10.0536
29920.624558,59073.095097,0.50469758152269,0.10579182556583,70.690218476131,7.95800142812684,0.39035102560722,8541.0509,8582,23954,0.1576139823098,0.21291172746091,0.13187695109634,0.14201032196112,523.880313628975,8.24520630918728,30754.547,118395,11
