"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","IP5 Patent families (biotechnology)"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190.43268406896,NA,1521.8,4491,33.1738
19685,26705,1.56231205079941,0.82609126381756,38.5772203062548,1.43718013230403,7.10939833167647,15265,4077,15164,0.93312284088113,1.43737600976662,0.40101368733562,0.23691905521272,1051.53065551064,38.6807234583962,1514.9,4514,29.2833
NA,26858.6,1.63058004167465,NA,NA,NA,NA,NA,NA,NA,0.93642981166929,1.47904583827277,0.43648781775961,NA,1208.07454732223,37.9127358490566,1519.7,4538,39.4083
20546.8,28503.1,1.68035820902895,0.84902998432342,40.5929752749373,1.46020804473954,7.42009090474843,14721,4330,16216,0.96312514162334,1.51701166528084,0.46277104468784,0.30703631052603,1065.36287731308,27.7160273816567,1495.1,4565,26.559
20662.3,29152.5,1.54506136709651,NA,NA,NA,NA,14361,NA,NA,0.84219192011587,1.3005063306496,0.4615649661809,NA,1227.74137717889,30.0588028053914,1497.8,4592,32.0013
21200.3,29965.9,1.48316542161612,0.69393677643692,43.5678134735401,1.57664758146804,8.06832704504853,13926,4542,18087,0.79351232967075,1.19240097008893,0.45734365305776,0.2946340315605,1828.32751261156,39.9297610451774,1526.5,4623,24.5333
22579.6,31230.8,1.45597550141921,NA,NA,NA,NA,NA,NA,NA,0.77796716670158,1.15405322155111,0.44643824436468,NA,2204.93762993763,43.8420804603403,1583.8,4661,30.7341
24350.6,33635.3,1.56478191688785,0.70436081112883,44.9456353242572,1.58688285622597,8.45385665566138,16050,5465,19812,0.82215075700222,1.23637671495,0.4986291091634,0.26375293169876,2513.96076201308,40.0759310528635,1664.6,4709,38.938
25578,35485,1.55550054118785,NA,NA,NA,NA,17589,5520,20590,0.82708472468507,1.21086982785506,0.49769875655807,NA,3336.17021276596,46.4286507413631,1722.1,4768,33.1105
26273,36091,1.72385621587539,0.75184241004438,46.7681361840299,1.41842447683511,8.19945325836527,17465,5982,21315,0.88906934112799,1.37717022715783,0.55199946692947,0.3147871954485,1785.21070765969,26.8022776922251,1690.5,4829,37.4524
26451,36121,1.6508737730634,NA,NA,NA,NA,17081,6050,21643,0.84592459950218,1.30912832327945,0.53320708058906,NA,2268.96456638632,32.0727049914521,1665.4,4889,34.0183
27228,36950,1.62753722904914,0.71932285878123,46.5473455339302,1.46939727643243,7.78624307884614,17561,6205,21812,0.84920233827476,1.30120266370748,0.51003753905475,0.29240759651686,2530.95341450282,31.2167146415965,1682.4,4953,27.5679
27841,37707,1.62024046879679,NA,NA,NA,NA,18630,6216,21901,0.8469996034005,1.29270601339169,0.50666080913452,NA,2974.47357112162,36.0173592681632,1721.2,5019,27.7167
28312,38536,1.65242545587395,0.71290279095604,45.8370937294328,1.55177917640429,9.468316117616,18857,6350,22588,0.86728224818585,1.33238023014541,0.52026694195394,0.29297285873373,2902.97872340426,33.6071033061271,1737.6,5080,30.304
