"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","IP5 Patent families (biotechnology)"
3132934.69254347,NA,2.123985416284,1.36179691319694,28.4914555728433,4.42082958489138,NA,NA,NA,NA,1.47334476493333,2.19006510070349,0.34037355372289,NA,NA,NA,391742.905932115,1141053.3495,9640.2056
3251294.72737819,NA,2.16125076879491,1.3718443553137,28.9239021013309,4.49035279320408,NA,NA,NA,NA,1.49111644646606,2.2329554207251,0.35619613618858,NA,NA,NA,392652.941496394,1148735.303,9463.9912
3319405.73024342,NA,2.13639656149198,1.32712394517868,29.8710985089597,4.73373523923695,NA,NA,NA,NA,1.44126873730314,2.17732633414628,0.37444852147185,NA,NA,NA,391468.097209595,1156879.099,10003.019
3504679.30036097,NA,2.13877954583496,1.31818925700294,30.3545924181325,4.84273580673619,NA,NA,NA,NA,1.43548027719811,2.17629479750434,0.38244134870135,NA,NA,NA,391664.742166453,1164997.0075,8346.1062
3562685.04123724,NA,2.11198298718922,1.30102675572544,30.5005926113023,4.75473105711512,NA,NA,NA,NA,1.41878850263353,2.14515823685907,0.37909136494238,NA,NA,NA,396006.463273,1172859.411,8303.9491
3697001.9962229,NA,2.14108113653503,1.33350414127658,29.6335728045861,4.83900927915065,NA,NA,NA,NA,1.44981439976524,2.19208546017347,0.37874099653182,NA,NA,NA,400457.337855,1180890.039,8543.1048
3810414.55994116,NA,2.17207439998713,1.37392107181881,28.8334151217575,4.75817784484828,NA,NA,NA,NA,1.48945007224839,2.25053771211028,0.37478107713157,NA,NA,NA,407480.682713,1189099.2375,8327.0128
3903883.37136881,NA,2.20687130588332,1.40005181076432,28.5369975085848,4.73607513568181,NA,NA,NA,NA,1.52184688899787,2.30002032095414,0.37924933127454,NA,NA,NA,418525.809966862,1214583.63925,8615.5275
4025730.74807076,NA,2.27801838094669,1.42611263213249,29.3152354936784,4.86634499715633,NA,NA,NA,NA,1.57072143225506,2.39190107623063,0.39222634845448,NA,NA,NA,420080.212669199,1223911.40975,8501.5926
4134138.52991289,NA,2.32573159420863,1.37039466628635,31.2697686623732,5.23134458798679,4.57452730793933,NA,NA,NA,1.55658962495346,2.42153449974369,0.42697644164234,NA,NA,NA,406385.406398948,1232280.612,8206.19
4165819.42944571,NA,2.28750323373928,1.33976280319634,31.1587407373986,5.19416897950704,5.07848882976391,NA,NA,NA,1.51935603982047,2.35742510925539,0.42695757448304,NA,NA,NA,405902.19135052,1240414.18175,7942.6522
4305514.65599221,NA,2.3195773515202,1.38636020286445,29.8628025761947,5.12321012454687,5.24846529542665,NA,NA,NA,1.55862362080437,2.41439832469006,0.42712377893987,NA,NA,NA,409867.825530396,1247920.27025,7971.623
4401479.74299158,NA,2.32284371986259,1.39471315196005,29.233185612258,5.2138929762841,5.50956850474051,NA,NA,NA,1.5689275517359,2.42622877990136,0.42213275534918,NA,NA,NA,413189.077120715,1255150.44025,7873.2766
4521889.62788986,NA,2.34786765419621,1.42453911299993,28.2259169014034,5.29969755989418,5.80081348368529,NA,NA,NA,1.59920289311705,2.47324287619466,0.42209140548857,NA,NA,NA,414724.985772,1262045.4825,8265.3432
