"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","IP5 Patent families (biotechnology)"
16738.307505,21887.660912,0.72127040157339,0.19508711479637,64.7887943945534,2.97521498246332,5.18828225026742,3977,5290,16697,0.20048364864234,0.31993974857033,0.27050375277004,0.1806839277272,581.457080755882,68.1115040674255,3981.33,10289.9,3.9
17725.115,22969.626811,0.76452234172394,0.24113262005914,60.9519826865764,2.44202006152081,5.06569987587068,4625,5211,17276,0.24318394926619,0.38864987243509,0.2802439914276,0.18446533980057,500.019686624728,53.8096989982843,4056.42,10362.7,2.5
18983.557503,24249.51841,0.72144443362246,0.22820713905283,60.5323840742394,2.80303659334812,5.03260209460414,5364,5119,18591,0.23429229243987,0.38000956760424,0.27078390777925,0.17859151600362,609.712468883864,62.958889463829,4038.02,10419.6,3
20242.000005,25529.41001,0.69758693310267,0.22131191105927,60.1050276295742,3.17072784489847,4.99889237838536,6102,5027,19906,0.23128220579667,0.38019470298864,0.26806375392616,0.17713708346466,671.727104541679,58.3742871613731,3997.87,10458.8,7.6333
20684.125499,25628.606583,0.72870968416009,0.24908763541454,57.4514308399728,3.52952654362639,4.83703010717985,6144,5314.5,20645,0.26253355104412,0.43263461500463,0.26808960490935,0.18470643643464,703.448541965444,51.0230745679517,3955.72,10483.9,4.9643
21126.250994,25727.803156,0.75707043244099,0.27456964350005,55.1988866526775,3.8340980307788,4.69963096664403,6186,5602,21384,0.29121172763435,0.49169001737792,0.26799900096159,0.19160085246403,755.463157364573,50.5767346486683,3921.63,10503.3,7.1667
24651.0699,30530.6766,0.95454698702483,0.4100357708028,48.5880497851785,3.29915375178152,5.15674335873198,10321.5,5104.5,24043.5,0.44295223575112,0.74376184160892,0.30440902956754,0.20115018633377,985.975742847615,49.5274169601646,3940.72,10522.3,8.2258
28175.8887,35333.6,1.1242709677473,0.52872774312098,44.5629985533772,2.97344911317428,5.43505490810057,14457,4607,26703,0.57605468246903,0.95971854864244,0.33451441098991,0.20792400233942,1136.29989577595,42.0849391904407,3934.75,10543,12.3667
40407.9527,47881.7626,1.44520466529633,0.69487888311469,43.7105013862461,5.2237480623869,2.98405667085313,18206,4421,46456,0.72403438554937,1.20623662163476,0.49826853843928,0.28497922616223,1426.35915974022,37.6677413679581,3938.79,10558.2,15.3774
39834.146885,47097.278585,1.5797254448735,0.69295756200164,45.4587182990386,6.58294558193234,4.09264007352866,18126,4425,46717,0.74726880909971,1.24957584822968,0.57779307954103,0.33811844966882,1608.95769788713,41.788051680046,3787.06,10568.2,9.7766
41523.399082,47615.939082,1.53257248998849,0.67346038242957,45.1107009731955,7.75598367075062,3.19017776183451,19235,5101,48677,0.70377225759565,1.19411198287097,0.56501159463224,0.34640724239739,1459.50030140038,39.9625180612911,3719.08,10573.1,6.556
44056,49599.1,1.4568313292661,0.65143065899821,41.7698549268388,7.48154483748154,6.03301471032028,21191,6059,47017,0.69045196529843,1.16917586611196,0.53007341721765,0.29536357344695,1658.63959568477,46.4903330861826,3641.61,10557.6,13
42498.2,47554.2,1.37776768554732,0.63430681874791,43.1339318163167,5.65370223635475,5.17363488848569,21471,4784,48007,0.6848848634273,1.16194480212062,0.50238171221649,0.28895461322339,1292.93472177245,43.3717768655312,3459.55,10514.8,11.1667
37813.4029,46711.176205,1.32641084632936,0.5606948719425,46.391747133439,5.21605633648131,6.12061276888369,20621,4101,52827,0.63012447332925,1.08203146962513,0.59215998504534,0.30188447222793,1456.26780690621,48.5638981764072,3345.69,10457.3,10.75
