"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","IP5 Patent families (biotechnology)"
506420,1007257,0.98525290606755,0.3238277504275,54.8074177511275,0.36585477156242,11.9592526966469,267640,129725,28325,0.69739531177737,0.96999874467243,0.04438908385227,0.12563358708045,183.581691601244,6.73297947380018,49936,146596.9,15.4667
505778,1008091,1.1045418226957,0.37140627636942,57.2187910587712,0.53714254227836,8.61879124877566,261334,131190,29333,0.77626129015009,1.11504728139727,0.05702632203531,0.14486807774292,398.80659032296,11.0512280461749,50039,145976.5,17.425
491944,986854,1.16983807987619,0.38732914274284,58.4305708328241,0.41524541774533,8.04454666325938,252990,131607,29583,0.81744000437627,1.122978588441,0.06283906331924,0.16113724494513,577.157108610784,13.4017754963723,51504,145306.5,28.8762
487477,973382,1.20566224251164,0.37091299334465,59.6083064880751,0.63887005011115,8.9885695716062,248232,131906,29346,0.82511317278732,1.14310804152892,0.07238319179891,0.17079008704589,659.324368463795,11.9131720733959,50842,144648.6,20.6158
477647,951569,1.07938062807911,0.33876844093703,60.6342382341554,0.40348928968032,7.57677391184142,239172,132350,29670,0.74554989904288,1.02187907864654,0.05832096367916,0.14447007989329,818.671877914733,12.0327545565979,51504,144067.3,17.1905
464577,919716,1.00122354185614,0.30040671493998,61.9453933787782,0.45566180153667,7.59494109674277,221445,139378,30111,0.68059801601832,0.94597280219812,0.05730373120968,0.13328294519005,960.916970548884,11.776751715448,52372,143518.8,29.3676
464357,916509,1.00588482600629,0.28977146244454,61.0991076337961,0.67498784647922,9.41828609734174,218702,138728,30793,0.67040912056063,0.94082204280842,0.06084028258325,0.14730466055287,1137.87824690499,10.7131035036765,53008,143049.6,41.1053
469076,912291,1.04636181895659,0.30810350938333,62.6184682937898,0.71528992511863,7.2210246677067,219632,138169,34162,0.67219471862599,0.940468474483,0.06554375541119,0.17757205953075,1396.16183464049,9.62460146766077,54148,142805.1,22.6548
451213,869772,0.97907877755002,0.28094494100815,64.7204001547765,0.64081923905267,5.94395569012409,209579,132261,33160,0.61597968203048,0.87343921084176,0.06493239566787,0.17346427488762,2217.48992822762,12.784603635763,53859,142742.4,18.9704
442263,845942,1.17367757851732,0.31205105628536,66.4607665617681,0.48740897874028,6.46438507943964,201668,132955,33847,0.73211027137238,1.06035882083224,0.08287722284819,0.23160392106831,1572.47752138904,10.2732557170212,51822,142785.3,15.6726
442071,839992,1.05956316397216,0.27026516024603,70.3492242306314,0.59593730869438,3.54763256786883,197785,131734,38640,0.641154133744,0.92075925358912,0.08763986297061,0.19222749593792,1410.13278069778,8.18201345033754,52134,142849.5,33.9444
447579,839183,1.02252252932854,0.2830199801242,67.0759322945736,0.96231046250107,4.28315144144252,202185,128717,43121,0.62328414396532,0.8954472298437,0.09146081043393,0.17737142345116,1915.41073563595,9.21965767552435,53282,142960.9,27.7996
443269,828401,1.04572329478946,0.28470765041815,67.8397324759548,0.96923742101745,3.96512322720597,192285,136521,43024,0.61004562274174,0.88264825789068,0.09543074285332,0.15867772650411,2053.09241731346,9.04697186533838,53781,143000,29.5298
440581,826733,1.05580419392086,0.29730459831783,67.6446016898427,1.16259374529873,3.03375204188437,193736,132204,42605,0.63986233711157,0.92955251920818,0.09233105922728,0.15701214852975,2468.74151739404,10.4825193225478,53947,143300,17.0476
