"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","IP5 Patent families (biotechnology)"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244.818735910134,NA,8765.98153113853,44107.8586,6.4848
14182,21196,0.71578101080731,0.39957215237099,36.3824072682575,1.69468890471934,6.09937078552523,3753,2774,20133,0.3846101423609,0.54737412978719,0.18125200568947,0.19866290384498,330.345018307491,37.9802615201892,8743.53807,44801.3498,8.1667
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441.714438951825,NA,8531.110266,45448,11
14130.9,25188.65,0.76051125228736,0.41646902886331,34.0496302911358,0.32072085719178,10.8676433587813,5058,3343,22001,0.42174299199859,0.60025604411715,0.1562417426831,0.18369583720657,613.900064322467,46.0595499186008,8294.066201,46034,4.0909
17914.51,29696.48,0.81334104913712,0.39541399531228,35.6063258301574,0.5190889560941,15.2585670202143,6575,2538,27603,0.45823212830899,0.65774102914069,0.17160581949489,0.1515012294946,886.729515375539,47.6936641281947,8542.591491,46641,9.8333
17303.02,28798.11,0.86315110409979,0.37863790480304,38.1925487300059,4.3878614249148,13.5526582030313,7480,2664,28879,0.50289802556529,0.72620719043791,0.16667398706973,0.16164395511617,1070.76638334709,48.1252383962134,9196.098236,47270,15.5
18572.75,30984.39,0.89814994019789,0.40228878982277,40.3872263487277,4.24868512406049,10.573878504192,8227,3366,27746,0.50250902468196,0.72478087137647,0.17934152441013,0.16718843101011,1279.55446925673,52.4471371145185,9728.253935,47922,8.9722
19320.28,31352.41,0.88286519756796,0.3766741629067,45.6941260763832,0.97146921624336,10.6694357014226,8336,3732,27752,0.50905189945305,0.73313174705197,0.17169275023205,0.18159764721721,1591.34835455651,60.1997126405152,9718.498624,48597,15.0012
19384.33,30801.55,0.88815898944013,0.37877802321002,45.138012625418,0.83274852400399,11.381691765704,8560,3817,27316,0.52054386058961,0.7441256219028,0.17692083325771,0.17910693258896,1662.08108000147,65.2573213327893,10505.834749,49296,14.7713
19793.064,30891.279,0.83562101498718,0.35521030021011,44.4436745287782,0.93383452934324,12.1139501274083,8366,3655,28552,0.4442053741371,0.64244727655023,0.20342428470652,0.19433045763071,1642.48704163958,66.4190656061683,10088.166872,50021,11.5422
18719.55,29486.42,0.73703588199161,0.2957868390485,44.529282275602,3.26692194380266,12.0718502029619,6372,3125,28154,0.36604733319554,0.53276843889069,0.19740160902224,0.17642929278863,NA,NA,9675.533263,50772,11.5913
20115.06,30978.43,0.73420005811664,0.28638827538033,43.0538715681327,2.94325880923538,14.9960250692596,6192,3214,30993,0.34592368603657,0.5086963713165,0.21858341660513,0.1798999703803,NA,NA,9829.443147,51550,9.5056
21382.5,35050.4,0.73167478149727,0.28051849093269,45.376371437085,3.22689846714573,13.0574982366841,6191,3288,32955,0.32400245820364,0.47749488382921,0.22536844534344,0.1853442993928,NA,NA,9990.899568,52356,6.5
23346.01,37956.48,0.72603845088471,0.30036558586684,42.894922884224,2.81506184604685,12.9195361303896,6182,3185,36133,0.33338307406191,0.49094199409568,0.20602490307579,0.17238540809825,NA,NA,10278.667577,53192,14
