"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","IP5 Patent families (biotechnology)"
26105,52285,2.32682864449229,1.60752798624175,23.1850117096019,3.4192037470726,4.30913348946136,17450,770,26010,1.71978248290812,2.40025362740839,0.53107284554903,0.64969362457535,5336.90974735655,84.4327868852459,3209.286,7249.2065,196.8794
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3957.77472942585,NA,3265.674,7280.452,247.9207
NA,NA,NA,NA,NA,NA,NA,NA,985,25930,NA,NA,0.58749874145365,NA,7887.30966583954,NA,3271.879,7333.734,233.4478
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9758.40928822804,NA,3239.193,7387.9925,263.374
25400,52250,2.67691607363561,1.86668918569933,22.7099236641221,2.32824427480916,5.22900763358779,13965,960,28295,1.9739701733832,2.7763747624668,0.61206684044544,0.76712377335829,12844.771628373,121.926870229008,3237.613,7438.4,233.4256
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13893.7714327016,NA,3250.236,7482.37,258.7924
NA,NA,NA,NA,NA,NA,NA,NA,980,29640,NA,NA,0.59782820933317,NA,14030.9156114667,NA,3319.46,7525.1405,251.4829
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15710.9603391744,NA,3411.339,7588.6625,286.5267
25141.6998,62065.6929,2.72857911867956,1.86062312295235,22.840490797546,3.01840490797546,5.95092024539877,11237,1034,33603,2.0054219534835,2.75901062452915,0.65619519813694,0.72697767509334,17227.7557728351,114.473680981595,3484.719,7680.1115,288.9432
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19291.1456948351,NA,3478.071,7774.538,265.1815
NA,NA,NA,NA,NA,NA,NA,NA,955,38309,NA,NA,0.72762444354578,NA,21172.1358402177,NA,3462.843,7855.6735,293.6609
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26435.9897999077,NA,3529.864,7912.398,278.7027
35785.1621,75475.8133,3.20163027664687,2.03730553240216,23.5694897985817,1.60808472454694,11.1890463430425,17903.9331,980,41395,2.28920229536711,3.21611186315827,0.83171814859914,0.9363595621922,28802.961705806,135.272347191062,3560.686,7996.861,319.2875
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30114.8680113578,NA,3592.766,8089.3455,356.8415
