"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","IP5 Patent families (biotechnology)"
983259.3275,NA,2.62050356162247,1.80885753597622,26.2384374779695,4.73409445926542,NA,NA,NA,NA,1.94424206878923,2.91627732847815,0.29843130319086,0.4156822426617,16468,6.11028039463774,101655,282398,4748.959
1013385.348,NA,2.63832275887832,1.77310412976152,27.7917341688137,5.00217672121554,NA,NA,NA,NA,1.90190498355085,2.88855519192691,0.31745960015907,0.44932960666643,18963,6.76674826397562,100898,285225,4318.694
1047327.541,NA,2.54967563694294,1.64557294119598,29.807317848734,5.65220032083919,NA,NA,NA,NA,1.76604648374851,2.72550032925092,0.34514189642573,0.47280285864359,22381,7.99632714163728,99483,287955,4578.2232
1126356.99,NA,2.55286616678265,1.61687373541245,30.7477914051972,5.91658385854104,NA,NA,NA,NA,1.74380813627704,2.69983447837284,0.36452265593575,0.48727832524084,23443,7.97782557205668,100062,290626,3339.1255
1105173.906,NA,2.48995350522626,1.55851830658396,31.5603324172229,5.84740217249051,NA,NA,NA,NA,1.69696311049645,2.62203315477663,0.36482495050073,0.47031640429989,29044,9.50268289490905,100874,293262,3231.0046
1101104.926,NA,2.50599409213237,1.58644682193594,30.7940803588843,5.90013653208504,NA,NA,NA,NA,1.72723180552274,2.66196215114706,0.35899636207448,0.46832353143788,31851,9.70688267992979,102536,295993,3374.2598
1130233.066,NA,2.55002061217585,1.6390865746028,29.859224290178,5.86339039079835,NA,NA,NA,NA,1.78746392869226,2.7417172781801,0.35328663164714,0.45465148101659,42994,12.1682968799529,104449,298818,3259.7862
1133582.916,NA,2.62692076433755,1.70429079058838,29.1681128324867,5.95373321132953,NA,NA,NA,NA,1.85988250152736,2.87020846684157,0.35329665376976,0.47001461219322,50128,13.1806182227411,105142,301696,3284.3366
1190957.203,NA,2.76682903285113,1.75758099523446,30.3893546280062,6.08759496903531,NA,NA,NA,NA,1.97492530190748,3.09469578972494,0.36631925548263,0.48989094193992,57509,14.1217175214494,103917,304543,3354.9654
1251409.95,NA,2.81858905969516,1.63194576169248,32.6610154894748,6.58751737798502,2.85208105215241,NA,NA,NA,1.95851384784758,3.14418715681276,0.39512470542674,0.51163974880189,61884,15.227174862514,98049,307240,3117.8641
1198776.551,NA,2.74046247981539,1.56007883257647,32.6126025072362,6.72993686797873,3.72988566008198,NA,NA,NA,1.8642746919149,2.98374729020789,0.40345161160121,0.50165820523574,69577,16.9661515802513,97016,309801,3079.7019
1253100.4237,NA,2.76964846977618,1.61666578381673,31.267217630854,6.5685261707989,3.79369555505919,NA,NA,NA,1.89517594039307,3.02217044806206,0.4023411375979,0.4817138578957,81826,19.038511652148,98032,312114,3152.6771
1264199.1031,NA,2.70550359874237,1.6016460476996,29.9315229900179,6.81155209217514,4.05737151694995,NA,NA,NA,1.87091447174204,2.96221297010826,0.37694236800276,0.45362330032702,84168,19.378010259055,100257,314377,3201.372
1305862.3564,NA,2.74158424306191,1.66654714487605,27.8237895859374,6.94147006634442,4.44699876751484,NA,NA,NA,1.93228692155422,3.04916250795432,0.36872622182873,0.47020890911234,87920,19.3306817407288,101477,316569,3572.461
