"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
26420,37515,0.40429056277169,0.09413564739328,70.7184092366902,4.37780628608082,1.61962796664529,4045,10059,26983,0.10460596905582,0.15105360713853,0.13536861691265,0.11219127948627,1064.53226613307,85.3110968569596,NA,36903.1,1
25656,37444,0.39107006972009,0.08130582920291,74.3360504864581,3.68130423349987,1.19204137084758,3810,10037,25875,0.08922389267082,0.1286032086097,0.13686938280238,0.11428062165368,920.660330165083,80.6556227539662,NA,37273.4,0
26083,37413,0.35971648836211,0.08745061481777,70.2426984779926,4.25339366515837,1.19292472233649,3695,10582,26370,0.09381334990604,0.12516535271162,0.12189816664447,0.09428685577307,316.623811042061,79.7943233237351,NA,37627.5,1
27367,39393,0.378400932687,0.0995520647972,68.8655380424207,3.45073620029837,1.37510540312642,3881,10921,27909,0.10959072221881,0.14429849603693,0.10370006749709,0.09695035896177,355.164324981218,66.8223389764546,NA,37970.4,1.8
29471,42454,0.40375977114288,0.12403239612839,64.5223872976975,3.66059120845459,1.09766681982948,4597,12174,28294,0.13320547511744,0.17588694120247,0.10098632352733,0.09855391157056,NA,NA,NA,38308.8,1.5
31868,45361,0.41914537653846,0.13001886160024,65.2794777641779,2.85597715218278,0.84455324357405,4715,14074,29237,0.13511495797758,0.17738321846945,0.10867957319403,0.11255914728056,NA,NA,NA,38647.9,2
35040,49359,0.45017239492635,0.1322703011475,66.663577386469,3.16342292245907,0.79085573061477,4925,15425,32221,0.13687354682932,0.1768164869542,0.11969477399055,0.12693037825325,NA,NA,NA,38988.9,5
38681,53187,0.45799073233826,0.1340777385654,67.5358034264667,2.5419826980396,0.64700608234182,5097,17675,35181,0.13899425525976,0.17802609445483,0.13261162669437,0.13488592445357,NA,NA,NA,39331.4,3
41523,56987,0.46849818540068,0.12425213446361,70.5541999408459,2.32734398107069,0.59708666075126,5279,19427,38062,0.12856506141439,0.17427609820641,0.13658986120103,0.13196235014207,NA,NA,NA,39676.1,5.6667
42155,58680,0.58439514926076,NA,NA,NA,NA,3079,20884,40114,0.1617015059692,0.2234190284793,0.17106738763413,NA,NA,NA,NA,40023.6,2.6667
46199,65299,0.56101920385312,NA,NA,NA,NA,3345,22257,45508,0.1515796570575,0.21481523436456,0.16540683558799,NA,NA,NA,NA,40374.2,3.1667
49029,69568,0.56609535266532,NA,NA,NA,NA,3635,23444,49195,0.15623921505566,0.22997512831742,0.17192021846492,NA,NA,NA,NA,40728.7,1.9
50490,72323,0.6354395096251,NA,NA,NA,NA,3888,24177,51098,0.16095269433407,0.24573880280015,0.18937214358943,NA,NA,NA,NA,41086.9,4.9167
50785,74866,0.61994196812866,NA,NA,NA,NA,4160,24369,52533,0.15016427660651,0.24143959031959,0.18131847832296,NA,NA,NA,NA,41446.2,8.65
51665,76904,0.58867967940202,NA,NA,NA,NA,3734,25756,53531,0.11807030741665,0.20294489169281,0.18052391312968,NA,NA,NA,NA,41803.1,10.4167
52970,78713,0.63082664836297,0.10862642841357,76.3853116145368,3.06934165391549,3.32565116296742,5773,27150,48746,0.13402208331534,0.23036356708123,0.16343922761643,0.21487035970992,NA,NA,NA,42247.2,8.3
