"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
66001.4,95620.6,1.47542214202555,0.70726670651321,45.5117067130007,3.08051185070701,3.47217555749681,NA,NA,NA,0.70570872554324,1.06953042492723,0.39584769980391,0.38151670199754,2243.12394675407,37.1408549404345,6837.416,19274.7,145.9333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82095864910876,1.24129207119903,NA,NA,1751.28042338989,NA,6873.962,19495.2,188.0269
73173,107209,1.64818042208768,0.85507873755438,41.1782070301856,3.24411880468679,3.57488873414272,NA,NA,NA,0.86581992971443,1.31809048470967,0.42836373446844,0.38904459998901,2170.53210635336,30.2385782191408,6999.24,19720.7,227.3929
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.90116316156336,1.36528966280684,NA,NA,2635.68497381771,NA,7063.88,19932.7,183.3333
81191.5,116194.2,1.73035558517411,0.944925745927,40.2724113097661,2.25130726117043,2.86752043084823,NA,NA,NA,0.94019038950203,1.41227350560905,0.46965763356459,0.39212179492745,3075.55970663779,26.1890597113066,7287.367,20176.8,212.3833
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04503143847813,1.56376170850506,NA,NA,3359.36585192012,NA,7452.615,20451,183.8889
87201,126701.8,2.00261163834327,1.16289634370632,37.5943647484525,1.95847032676377,2.37771614348952,NA,NA,NA,1.16229860957846,1.73377411677561,0.50071649410908,0.43290067226039,3600.22260550624,21.9541538857153,7666.689,20827.6,200.4897
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27649178111127,1.89811001353504,NA,NA,5093.41483466484,NA,7910.142,21249.2,196.5278
92648.8,137488.7,2.24724445715012,1.39121561527222,34.5954464982985,1.88663243707397,1.6099451926033,NA,NA,NA,1.37310209008322,2.02071999953254,0.54386784730534,0.4514178631203,6195.38184304084,26.0997699573485,8004.811,21691.7,202.8333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29167604361592,1.94206348010786,NA,NA,5514.78841835618,NA,8011.056,22031.8,168.2262
100413.9,147809.2,2.19186609587633,NA,NA,NA,NA,NA,NA,NA,1.27668489735842,1.89740250297936,0.57706055427059,NA,7299.84933339986,25.7415494096717,8146.556,22340,164.25
NA,NA,2.1226875174712,NA,NA,NA,NA,NA,NA,NA,1.22818237214101,1.82619304640613,0.59359967931587,NA,8812.09311174538,26.9503769835011,8181.887,22728.3,173.6667
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62649538882391,NA,8990.46462404157,NA,8266.585,23117.4,141.5
NA,NA,2.10520522787023,NA,NA,NA,NA,NA,NA,NA,1.18554159276451,1.80128645571036,0.62155340097858,NA,9516.88535948506,29.4519217842045,8254.842,23460.7,138.4167
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6256984687345,NA,9205.28024148831,NA,8399.466,23791.1,138.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57537822275675,NA,7799.62132759635,33.2980531768177,8493.449,24128.9,134.0667
