"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
30539.635,53391.405781,1.92235652396,1.1998014289255,22.9287350967118,2.4439918390544,12.2142183599367,19700,NA,NA,1.38973828864311,2.20059948397723,0.38909769190851,NA,3460.59159404246,75.6681860106342,2923.5,10251,160.8333
32236.503954,55949.101609,2.02167809558746,1.28110012457297,22.0019703681818,2.54511921145788,12.0847546609462,20850,NA,NA,1.47527444903457,2.3317757561125,0.39860888255469,NA,3765.06250503351,78.302609175266,2958.1,10287,139.5286
30668.086722,52054.359697,1.89073026851835,1.12268486772217,23.1814874718766,3.09740764623215,14.3427320694286,19483,2119,22257,1.33144778848636,2.11245652160621,0.40006087260798,NA,3620.52982521633,73.9702823343947,2927.9,10333,141.6667
30917.123342,52256.467517,1.83183519287991,1.10472886317078,23.5492856662418,3.23021679501499,12.913278446789,19729,2180,22319,1.27651099523417,2.02693771677307,0.40688685520094,NA,4284.4698915862,73.3216367960199,2902.2,10376,149.75
32400.384025,52252.68408,1.80897837689272,1.0881446763929,24.4137993068585,3.15637232650739,12.2773859541511,19428,2431,25235,1.24930594266699,1.97441402136515,0.39359364753467,NA,5506.49084576558,82.0697446213053,2914.8,10421,132.5833
33146.01415,53517.096741,1.78230874865562,1.06370689082159,24.6529689213727,3.26117270275237,12.4044540387771,19927,2511,26059,1.21215233153868,1.9241771253928,0.39772647424817,NA,5653.01820623788,81.8816808043835,2947.8,10479,133.5833
34878.9298,55713.7498,1.8142645609223,1.10735139073415,22.3851347729286,3.26007895806656,13.3189602945098,19585,2567,26829,1.25683887320839,1.99975986993036,0.38665510936224,NA,6364.22547667759,85.6015010108221,2988.5,10548,134
36318.444,57963.2896,1.84412285002306,1.13195786059708,22.1505983893612,3.46323867717807,13.0042495976675,20342,2653,28002,1.28233817697621,2.03585855980664,0.3897384632121,NA,7942.37908675643,91.2861853845453,3048.4,10626,140.2333
36774.4556,58475.7331,1.92413247812555,1.17356283856682,23.2411841950038,3.47784194601643,12.2891854210671,21877,3092,29345,1.31331760180305,2.10212653324901,0.42004598578965,NA,9837.7746962421,98.5806080465409,3105.6,10710,162
38225.4135,59755.8946,1.9853719095937,1.16474234548327,25.3097651849926,3.94968662449817,12.0757877711348,21942,3251,30354,1.31165401785074,2.12840000595513,0.47101176067166,NA,10720.3878386796,111.44326026052,3073.7,10796,136.5
40832.467105,60074.571953,2.05080238071109,1.18090610543384,25.4223706176962,3.67679465776294,13.3181969949917,25451,3069,30561,1.3770710022706,2.21868893607782,0.4821959980882,NA,9968.94288235879,100.52754590985,3081.6,10896,149.5
42685.7734,62894.678,2.15533386440732,1.29644479380437,23.4169624280994,3.47081140619263,12.9616937951291,28325,3215,31353,1.48069405390577,2.38165345317264,0.48152721281604,NA,11248.9621218456,99.0331660751438,3121,10994,139.625
45597.265,67005.495,2.3621935483871,1.44901598629677,24.299098992735,1.38439068553013,12.9744958234555,NA,3962,31437,1.67569032258065,2.71759874643836,0.48462955235366,NA,12631.4799224272,111.599389183203,3123.7,11068,134.6667
46355.1,67898.5,2.43679032090899,1.49427003196071,24.0811687343805,1.43058827816212,13.1670054451572,30373.536352,4061,32077,1.72198442298414,2.80629707810983,0.50740709966208,0.46213588323183,14335.6149141251,117.910400981637,3103.3,11125,136.9167
46879.8,68701.1,2.46373575650516,NA,NA,NA,NA,NA,NA,NA,1.75463389197025,2.85512799016207,0.4927237425435,NA,18237.2820032067,143.918425704547,3105.3,11180,114.0242
55087.36,77863.71,2.45520381623754,NA,NA,NA,NA,NA,NA,NA,1.76651626946693,2.86208511676878,0.50114025307771,0.38488365520306,17499.9646998214,155.946709889111,3130.7,11238,129.5333
