"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4142.68264968005,15397.784,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4193.26527097588,15571.679,0.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4315.75035863039,15745.583,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4486.71989693937,15919.479,1.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4593.15713325037,16090.05447,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4774.17292249732,16283.29545,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4817.77171804524,16426.18131,1
5550.9408607,11023.942953,0.30956537535873,0.12038526455203,35.5812529911922,21.3520217724904,4.17824672500148,1749.8824385,806.18,6881.46,0.10750719515006,0.14657098447523,0.13323408031047,0.05920984451205,NA,NA,4935.23100086178,16598.35175,2.6667
5959.0750767,12571.184758,0.37496788897629,0.16396599986607,33.7616595077427,19.1709326428947,3.3393966049409,1831.2179275,883.08,7371.6,0.15156175305368,0.20926058131289,0.15304103085367,0.06662173884903,NA,NA,5121.18076919861,16763.59525,5.6667
4859,10430,0.35202125310849,0.09491397647119,38.3232121699444,15.6652753432595,19.04894257573,1314,506,6261,0.10322210210645,0.14446444416461,0.14014346429207,0.0582428222858,NA,NA,5046.43157894737,16927.785,10
5440,11491,0.32947489593814,0.08382597310646,40.3582202800398,14.3679650916696,19.8315201966666,1588,505,6659,0.09759018279968,0.13582404752912,0.12694121300301,0.05658011306504,NA,NA,5491.93498452013,17093.32725,14.25
6078.4,13052.05,0.35144205732057,0.1191114866292,33.654774158056,11.1872226298406,21.2657913527333,2185.54,443.37,5969.83,0.11964665171653,0.16749199225548,0.11390226471125,0.0785771758779,NA,NA,5784.65046439628,17267.34425,10
6798.01,14631.3,0.36220470205866,0.12657475335207,35.9602561539526,11.5585580009852,17.5355452623373,2576.21,535.34,6424.79,0.12470110826094,0.17685740563726,0.12412116488797,0.08877577868144,NA,NA,5810.43560371517,17449.97625,15.75
5892.8988747,13228.331793,0.38869966151507,0.13280494244787,38.3725281531508,12.4768970896461,14.9841075340957,1810.776667,1038.346667,6383.0325,0.13604558694563,0.19708862036097,0.15285019669717,0.10969619553854,NA,NA,5966.7,17639.7,17.25
7585.2403487,15886.507027,0.37438963005337,0.11925607392853,44.1606296361021,10.1973971497497,13.7885071041149,3045.812368,1060.06242,7143.187023,0.12495821104019,0.18194561141925,0.1458585714023,0.11473964272683,NA,NA,6003,17836.234,16
8175.3270667,15261.450567,0.38289202651032,0.12549619502411,42.5964544887062,11.7479926163529,12.8796823269685,2914.9584,1257.3543,7647.6451,0.13135402285617,0.19362310501641,0.14755141461243,0.12660327984214,NA,NA,6053.1,18044.70125,19
