"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
695062,922131,0.89316289347023,0.51436904655299,33.40757984291,NA,2.68627221115037,NA,NA,NA,0.53554572221379,0.64771948952097,0.07652163229928,0.04660145069602,NA,NA,NA,1267430,286.25
742726,956482,0.9403307429919,NA,NA,NA,NA,NA,NA,NA,0.56829538984651,0.6980394443744,0.09234811360171,0.050151935107,NA,NA,NA,1276270,925
810525,1035197,1.05786008280491,NA,NA,NA,NA,NA,NA,NA,0.6472368540181,0.80543181654882,0.10721554893293,0.06063224146552,NA,NA,NA,1284530,73.1667
862108,1094831,1.12036621784731,0.67337092895513,29.913680559615,NA,1.94592207218618,NA,NA,NA,0.69875259447121,0.87263072310021,0.11811061152277,0.06378889905789,NA,NA,NA,1292270,120.6667
926252,1152617,1.21498273358108,0.79788601296489,26.6282872152691,NA,1.2820838821561,NA,NA,NA,0.81189366100478,1.01349516810356,0.12415954111761,0.07240477270907,NA,NA,NA,1299880,92.75
1118698,1364799,1.3079155920732,0.87684136517992,26.3443259846404,NA,0.92612853586025,NA,NA,NA,0.89356322293159,1.12289106001661,0.12935379184909,0.07004632207428,NA,NA,NA,1307560,98.2
1223756.4,1502472.4,1.36853697530793,0.94498849723114,24.7121521165853,NA,1.61329808704788,NA,NA,NA,0.97272802713216,1.22411832531402,0.12614529257336,0.07097925901507,NA,NA,NA,1314480,103.5
1423381,1736155,1.37298258272411,0.96620066878023,24.6207120721506,NA,1.34692022784498,NA,NA,NA,0.99245771054656,1.25032723918887,0.11645093311765,0.06458074011664,NA,NA,NA,1321290,153.4444
1592420,1965357,1.44469394369069,1.03643850823536,23.5893751628296,NA,1.23891745918531,NA,NA,NA,1.05837966258606,1.32721763344745,0.12211139645629,0.0691109086866,NA,NA,NA,1328020,160
1152311,2291252,1.66210726169661,1.19247790278811,23.4099620503366,NA,1.34606105492577,NA,NA,NA,1.217080991747,1.55303060250917,0.13411626635933,0.07742773554487,NA,NA,NA,1334500,184.5
1210840.8,2553828.8,1.70994157789534,1.22585289200688,24.0181168998228,NA,1.30465126256323,963587,303114,480888,1.255468394075,1.59798018119265,0.14461359990747,0.07856372574691,NA,NA,NA,1340910,283.5833
1318086,2882903,1.77539325163672,1.31220862873714,21.6756484881396,NA,1.33758691843463,1072087,320814,512998,1.34464049367447,1.7132582837841,0.14078281167749,0.08416387089024,NA,NA,NA,1347350,431.4333
1404017,3246840,1.90581601115374,1.41108121560916,21.5702736218769,NA,0.9749136978343,1176429,339576,553645,1.451279363747,1.86562096883969,0.144449083469,0.09230878330324,NA,NA,NA,1354040,452.7857
1484039.7,3532816.8,1.99020734188835,1.48472117696998,21.1078935113182,NA,0.89359308424914,NA,NA,NA,1.52472583488856,1.98123210699563,0.14392641839341,0.09323081925288,NA,NA,NA,1360720,449.6103
1524280.3,3710580,2.02114195129447,1.52436436219751,20.2531906239668,NA,0.82632629111495,NA,NA,NA,1.56227346428012,2.04444436551062,0.13946914165252,0.09527446796963,NA,NA,NA,1367820,535.7255
1619027.7,3758847.6,2.06707013179685,1.54463828494509,21.2647874201708,NA,0.74221218375892,NA,NA,NA,1.5873462418076,2.1102343535244,0.14567178174654,0.10446636807933,NA,NA,NA,1374620,569.2694
