"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
55460.47413,104567.63206,1.90924353325103,1.24028902037047,33.3853185191805,1.61505897760284,0.0372958655512,36565.691836,13521,18587,1.21432438514732,1.63669384271093,0.23231266526007,0.19767774211062,1304.31510446691,20.6078747836976,8411.71864009379,22277,6
59656.430205,107756.64766,2.01781663647598,1.30879125129243,33.3402514474244,1.78105938714851,0.01693574671916,38765.463417,14068,19643,1.28266447953571,1.76187344250635,0.25123807426702,0.21797726379943,NA,NA,8316,22406,2.5
69886.681607,120012.65062,2.10121501237304,1.32661975653137,35.2021567217825,1.64488193474603,0.01712094899256,42852.058432,16070,33436,1.3067158044892,1.78208689233494,0.2587506164567,0.23148906209039,1308.62762111352,20.1604684269498,8369,22521,8.5
75110.732977,127628.18723,2.21543670239997,1.40129766814586,35.2294584756015,1.4945108480481,0.02449807195217,46742.927843,16729,35935,1.3917178256601,1.88645271998966,0.2634547805874,0.25993937143154,1509.49212621303,21.3852435857337,8415,22605,9
81208.812178,138604.21136,2.25990429742709,1.46329484065824,33.6150805574105,1.61174957730644,0.02286861059528,52039.794326,17020,38937,1.46178736279088,1.96302286548271,0.26052486960552,0.25434685684119,1560.51403267309,19.8105883580771,8588,22689,10.8
88858.987647,149153.85848,2.32363985390978,1.55349623990697,31.5442141728141,1.54852257541815,0.05110921988579,56900.596165,16151,41958,1.55794007039548,2.09490870854081,0.26539457300337,0.23950049277843,1776.14325240153,20.3335155239795,8727,22770,9.0833
95176.082787,161314.07736,2.42893798740476,1.6310400425511,31.4107345713149,1.40929484337639,0.02963364873335,63488.654137,16638,45227,1.63943379902369,2.21709673624898,0.2971701341529,0.24704528316246,NA,NA,8880,22877,12.6667
103785.56048,176176.65419,2.4746416500498,1.70405688382734,29.8292108996286,1.26861489554517,0.04142081842921,70565.90226,16815,47962,1.71190784647673,2.33108515474954,0.30133148362877,0.2475519085094,1984.38359417819,19.6430665817835,9034,22958,13.8333
110461.37541,185122.68051,2.67593541873401,1.88513573810257,28.2060487223752,1.30277309374253,0.04344895620497,75346.995069,17709,50454,1.89239814332805,2.60302511919847,0.32625280582772,0.27206248510564,2400.50448964051,21.498820802678,9100,23037,22.3333
119583.13292,197417.38054,2.8376603234957,1.97993640835708,28.8610167809169,1.32490927322297,0.04052170069169,82583.673352,18116,53770,1.99078443009134,2.77157687418087,0.36124203268717,0.29391840294376,3071.77996308512,27.6011722416644,8916,23120,35.5
128347.30638,211412.77727,2.80351980050163,1.99847617646961,27.4394284242526,1.23528148220484,0.04075070531345,90978.747236,18810,55053,2.00733956063982,2.72450649729424,0.33975267825183,0.27966659101324,4479.7060868466,35.8095884153669,9099,23162,30.9167
134762.17142,222268.63834,2.89551486347312,2.10222138986319,26.1730533057014,1.18848041639709,0.03578630605666,98549.856524,19167,56067,2.10643128596582,2.85995982000305,0.34221331994382,0.28076540501111,NA,NA,9284,23225,47.3088
140102.34831,229167.08397,2.95161887746761,2.18849573419663,24.6269752587642,1.09713825744677,0.13027944559214,103506.64296,19281,56161,2.19318594481061,3.01799847137838,0.33293563032957,0.27744488029485,5079.09975011819,34.6970773600016,9426,23316,32
141159.12045,234248.45431,3.00472058552116,2.26925191843941,23.3135115004435,1.02462907599879,0.13896623416549,105880.82543,19363,54265,2.27307303966012,3.0819290802359,0.32163460257348,0.27553422438437,5082.37084313067,33.0613145212495,9523,23374,31.9167
142983.06182,240527.93169,3.0008450404289,2.31781872529112,21.6706666064854,0.97281532169138,0.11765054865917,109220.88828,19725,52302,2.31518373606237,3.09003501548997,0.29873286231828,0.26941702459119,5373.86864462592,33.7531103701494,9624,23434,41
145380.82721,245941.1963,3.04578413619272,2.374036162326,21.0725443632169,0.90621375250792,0.07625116358504,111846.7976,20069,50773,2.36984885246246,3.16368471976104,0.28705540868141,0.26453029350165,NA,NA,9735,23492,65.2167
