"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
13852,24198,1.11636454061527,0.57168627219583,44.5067806336646,1.1386632033586,3.14491527983328,9309,7860,12464,0.66937954927654,0.938779177437,0.15819160601044,0.25977852334608,435.432368771603,63.4532906460479,3919.449,10272.503,4
14987,26107,1.10575690517619,0.58008435703418,43.5878886261778,1.74083353918905,2.21089035536578,8975,7910,12182,0.66539351982827,0.93071909551825,0.17275958617129,0.27613842415379,504.609815164385,67.7312347813813,3914.661,10224.192,1
14974,26032,1.10490631615391,0.59358028051689,42.0713178714275,1.49396660823898,2.71248841033832,9788,7850,12847,0.67490729572719,0.95701179345939,0.1722376273659,0.26776757093783,558.027697343868,61.8194246113657,3928.887,10200.774,4.1667
15809,27957,1.15118598239374,0.59224940140934,41.8282313694644,2.15826719916897,4.56660885736038,10417,7997,12789,0.70213393865334,0.99859491896409,0.1751231683095,0.28803287595779,556.134566982169,48.6500965785666,3888.763,10201.651,1.5
16299.66725,28765.1607,1.14738195090363,0.60602636624085,41.8863637404803,1.59821596595234,3.69723139286449,11732.19,8213.4,14100.56,0.71625979343681,1.02072648871555,0.16918491342209,0.30208997552282,615.005982548468,45.0516844279673,3890.163,10206.923,6
24169.069495,43370.431095,1.17084325279653,0.5642913152722,45.2167501414982,1.19477327271435,5.39318537798428,11068.98,9029.97,17343.26,0.68096806080592,0.97752490103913,0.21686415271869,0.35769482448481,1446.09080695261,90.8216622619544,3960.115,10234.092,5.5
26267.3062,47729.1197,1.23372219229906,0.60544983962675,44.940944607289,1.21921272021688,4.76478806084908,12374.56,9448.67,17741,0.72353100782377,1.02728158205503,0.23059404497497,0.4042234059573,1638.15642437497,85.547941134761,4003.927,10266.646,4.5
27877.8249,49191.5642,1.30509525449923,0.61568111541803,44.7159863088761,0.84528986245746,7.26353770370674,13722.51,9541,19159,0.75240952325775,1.06499938385045,0.24242628544912,0.42060813068977,1919.37842676697,77.8886066303295,4095.286,10322.689,5.5
29785.217,50807.8771,1.24203436416189,0.55953524714931,44.7990886511707,1.26599953712363,8.88501115723562,14725.75,9816.17,19550,0.71546500326497,1.01804717475244,0.22942093880471,0.40475775853436,2303.00712681831,78.8341915418057,4188.046,10429.692,6
28759.3094,50960.8344,1.29721731784701,0.51572227153314,47.7661782792845,1.20237755443343,11.2754014093844,14258.68,8777.13,19845,0.71715379847199,1.04619389019431,0.2588290175399,0.43044219927239,2521.07648323978,94.4661246133495,4103.637,10491.492,8.1667
29227.8786,52290.1309,1.33986453609588,0.54625107400729,44.4351333374599,0.87105975799652,13.9246799677932,14503.4,8697,19977,0.75912804847975,1.10542137631865,0.26791564541659,0.40024515049222,2149.41248543715,77.491508595381,4051.402,10517.247,9.1667
30681.5894,55696.9423,1.55570685279597,0.5862440477917,41.7173440724592,0.94193347630371,19.6572703122776,15984.25,8934,20732,0.84655665056504,1.23096210291512,0.37901164051857,0.4474855314713,2765.65017353344,77.9889418905298,4056.838,10496.672,2.6667
33217.1676,60329.4438,1.78231221218588,0.64848911774442,36.7832349166563,0.90867867178482,25.92337709608,17609.54,8701,21134,0.94159656046732,1.377243831079,0.48962965207128,0.53495494483624,3108.41915464181,84.1000798960126,4082.572,10509.286,7.3333
34271.1035,61975.8559,1.8997304625429,0.71420497187984,34.738737922749,0.51426402950358,27.1519293679594,19124.43,9170.85,22957,1.01296747783378,1.49090837993241,0.51725473191662,0.62497267044856,3119.20881254605,78.4098664636115,4086.989,10510.719,10.5
36039.7,64443.5,1.97284723151735,0.70877461577282,32.9412561812035,0.65314263811135,30.4791187079178,21472.52,9509.72,23279,1.08907757913055,1.57780526943638,0.50136288538916,0.61105005367671,3132.37138383717,76.4004538093165,4100.372,10524.783,8
38080.99872,66433.399945,1.94667144401887,0.67209919630968,32.2145386072872,0.7606811820739,32.4992212944337,22537.66,9905,23963,1.05711470782931,1.53425273399523,0.48049912278278,0.61008494091214,2436.235987601,67.5908737529662,4164.199,10542.942,14.5
