"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
NA,37693,NA,NA,NA,NA,NA,NA,6120,10251,NA,NA,0.43461812087011,NA,NA,NA,1866.64,5338,159
19453,39892,2.32466465615672,1.42760779088402,28.2068219451146,2.61699344087349,7.76485935037139,12281,6117,11095,1.59428696007221,2.70793159129244,0.43967230661322,NA,NA,NA,1885.026,5357,169.6667
25546.9,42406,2.4414456512259,NA,NA,NA,NA,20794,3118,13683,1.68506620358782,2.89274306637582,0.56272872377011,NA,NA,NA,1873.696,5376,175.9167
24881.989331,41607.284138,2.51084545686761,1.50362418080795,27.0964616996205,2.72510104497436,10.2932628535924,18520.24994,3269,13991,1.73508194600178,2.99305635451585,0.58279687990473,0.44900900943866,NA,NA,1848.787,5390,199.9167
26166.943795,42687.390839,2.41916299013082,NA,NA,NA,NA,21656.856123,3353,14221,1.64597492451864,2.83633429291305,0.59047503952521,NA,NA,NA,1831.268,5403,202.3333
28179.010935,43498.566766,2.39337316334843,1.42467312564313,27.5811964117275,2.82412242952084,10.0689395225363,24264.353123,3104,15682,1.633568524714,2.82541017537125,0.58940380230822,0.44782981601958,3269.51713465768,51.6537587873822,1858.364,5419,214.1667
28846.2781,44877.6896,2.40300289491517,NA,NA,NA,NA,24365.6753,3282,16070,1.60845312258509,2.7597029927148,0.62259852817044,NA,3624.81982541247,53.3237596619784,1911.227,5437,184.25
30174.03,46897.1,2.51541281712861,1.53552501804359,25.9068253072249,3.50695132710687,9.54157067138739,24318.62,1969,16328,1.7575747119496,3.0099502732558,0.66438239176005,0.3088638147736,4647.94094581184,57.8475154855618,1981.645,5460,162.6667
35701.6765,58588.7635,2.7734572321493,NA,NA,NA,NA,29283.4937,1762,17168,1.9385279799275,3.28437771566367,0.75393245516162,NA,5828.01834070886,59.4680063246803,2010.637,5493,258.3333
36789,55918,3.05514118165565,1.89838474505311,26.1402405067862,3.1153364415107,8.60704110510721,28886.5,1971,22971,2.13189613173819,3.77330935251799,0.84702025325423,0.49332767371815,5798.68926666086,59.0832460623524,1892.423,5523,221.8333
37435.1,56623.3,2.91706563382491,1.78196679488836,28.2236554417435,3.45001220991976,7.23868405460201,28596.8,2030,23919,1.95549680108409,3.44473842921344,0.88433098867651,0.5496836922105,5152.31393606949,54.853774379613,1813.808,5547,160.1667
39181,57585,2.9446507412064,1.80107772460628,28.1517056675383,3.57860008752671,7.10521390718491,28718.8,2038,25848,1.96476819499538,3.44593317702116,0.90930847809302,0.54929932739675,7108.03695646436,70.17030932233,1825.362,5570,193.1667
40080.3,57734.1,2.98124751319524,1.78570787788087,29.1721170304471,3.76283084961952,7.16704398819713,29278.6,2092,25881.5,1.95485281809729,3.40576132595263,0.94333409674502,0.5463921768948,6685.2246077493,68.5444829337974,1815.689,5591,207.119
39868.1,57744,2.97048158836945,1.75358881305006,29.8921680998313,4.36997454671698,6.70403536593238,28252,2289,27080,1.88154286960978,3.25601562556049,1.00659333142282,0.57171744286738,6363.07277745317,62.3457145498921,1813.958,5613,219.1742
41409,58361,2.91981914320611,1.72393393871807,29.6751937867678,4.45944356596406,6.822873931685,28518.9,2394,28113,1.86192473909536,3.20067534554079,0.97705138138419,0.58729585874978,6645.38467934479,64.6036859973672,1839.187,5643,204.7955
42425,59532,2.95860586008778,1.75658590222532,29.4000933706816,4.70354808590103,6.52427637721756,NA,NA,NA,1.89219360379563,3.24038014783527,0.98712056782372,0.57401973649159,6045.5652879728,67.8465387823186,1872.372,5682,236.3405
