"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
NA,52604.368333,3.24568764121796,2.28007042286494,26.229963897474,0.87121709732958,2.65098027589431,NA,NA,NA,2.30142104989689,3.64389883430165,0.57927580158666,NA,1704.43945055629,41.8305365045907,1649.1,5176.2,43.9167
NA,53424.40749,3.19794663680359,2.26354344918546,25.524913935932,1.2059847594965,2.48788880401116,NA,NA,NA,2.27365646184842,3.57263430967896,0.57749537860797,NA,1879.17781496362,45.4642072500429,1666.6,5188,34.4417
NA,55044.223342,3.25739929758782,2.26461563008719,26.130096234103,1.20303339981389,3.14465041157503,NA,NA,NA,2.27603453014047,3.63309491426173,0.62415688284364,NA,2421.5293060259,53.2671978801552,1676.9,5200.6,55.6111
NA,57196.2,3.30213830004816,2.31156964814705,25.7210263779271,1.13042550496322,3.14630237094053,NA,NA,NA,2.32760392956343,3.78471919755404,0.63449122181977,NA,3064.2159209436,54.2455591568302,1670.2,5213,48.5833
41003.527344,58281.142003,3.31493961641122,2.29573463392164,26.3251122257092,1.21071192328033,3.20989185944033,27182,5326,18181,2.32429201858945,3.76544193318545,0.65615136581334,NA,3563.60159679152,54.6311111172677,1675.4,5228.2,45.2652
39582,57471.331962,3.32976451909214,2.22620421006527,25.6541102764127,1.20754561939821,6.28061763048761,26121.747342,5622,18495,2.35839817017161,3.84815428747258,0.6339309069452,NA,4621.20081579864,67.8882657069259,1706.8,5246.1,56.1
40410.914,58257.0326,3.33761815379981,2.22142977973977,25.1114082870498,1.23702608843629,7.0942784416889,26666,5703,20367,2.37975314864379,3.8768435308663,0.62523265783772,NA,4951.44626263239,68.5100778202971,1744.4,5266.3,44
38999.5199,56242.9704,3.34576941216825,2.28189866226472,24.051103194556,1.23071530414292,6.51567156260565,26607.6044,5714,20570,2.41894020923552,3.86291737277256,0.62419500064314,NA,5671.75925133873,66.3818483833457,1793.5,5288.7,44.9167
40878.9462,56698.4855,3.54708380009396,2.49316115243843,21.8345775194523,1.24030366936607,6.63721186073567,28344.3132,5687,20648,2.63381299977802,4.24889280301138,0.60948784529531,NA,9366.15916002975,93.05712200165,1836,5313.4,58.5
40848.7362,56069.0109,3.74883162366251,2.55303851869038,24.0020382312319,1.28949614530223,6.60621857093238,28024.8839,5762,21450,2.67756215854918,4.55539119402284,0.70861988963094,NA,9061.90202538332,96.1198928621592,1765.6,5338.9,54.875
41425.0356,55897.0039,3.72597578834848,2.46279914484233,25.688642293109,1.33878603170855,6.87447465865301,27849.3845,5970,22732.076,2.59458204168894,4.40661837459038,0.7615343132015,NA,7769.07386049112,84.1449860282171,1745.8,5363.4,50.3333
40002.609,54525.864,3.63881159552799,2.43842707587279,25.0327763951884,1.41249791308727,6.54307862482083,27960,5937,22993,2.56385103799989,4.41432535726155,0.72730648299123,NA,8146.1836423647,81.801395146525,1769.5,5388.3,64.8333
40468.4,54046.616,3.41948316507585,2.15619366043855,26.6924604150419,1.44452016777793,8.80687739611657,27225,5677,23173,2.3499307783556,4.11766008016067,0.73808491789002,NA,8847.56085299906,100.79205045516,1786.9,5414,48.6667
39196.2,52972.1,3.28718685144931,1.99987213408217,26.0289343367095,1.59034125761135,11.540820753729,27977,5732,22404,2.26342346241234,4.00201735621989,0.70724606320511,NA,7695.41438210246,86.7113298723837,1766.2,5439,39
38280.6,52130.2,3.16930609225498,1.6964676796091,27.498042106233,1.65077317608759,17.3231369297155,27367,5179,22274,2.14601360756105,3.80401494172555,0.72492383464575,NA,6560.73549758135,75.9359960688565,1757.4,5462.5,53.8788
37515.8,50367.2,2.89765215191565,1.58688565278195,28.8853382529773,1.82839447198933,14.5217348333855,27977,4888,22173,1.93178401134069,3.43003152649242,0.70633194023015,NA,5022.4455061776,74.5940964272184,1749.2,5480.5,50.5
