"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
257874,484734,2.39165973692168,1.57957079679468,31.3978940713961,0.41111045259685,2.14583456804757,NA,NA,NA,1.68203810099788,2.60284529009296,0.38488906108255,NA,18215.3904740262,39.0584563108714,29594,81457,770.9
264385,480606,2.38557698924238,1.56633254581737,31.444367524326,0.42690665743625,2.47048190454213,175040,NA,NA,1.66671559969723,2.57604903100102,0.39104525540748,NA,21029.7894426001,45.1924925964386,29471,81517,1243.1667
265812,480004,2.41542536289939,1.58255860480064,31.6402008546963,0.45319715250152,2.38776505796978,NA,NA,NA,1.67248301490524,2.60536938779108,0.41100815194022,NA,21017.3309219473,41.8486324171627,29159,81578,1179.0357
268942,472533,2.45660066303917,1.62781521386617,31.1634900116432,0.32215774177874,2.25125370151361,178964,43935,174231,1.71295628986343,2.67611412100745,0.41449407228568,NA,22284.6936865678,36.2037826489544,28697,81549,1099.4667
270215,470729,2.42078815477711,1.61128238102369,30.5245520485965,0.37895533493794,2.53625363627929,NA,47326,171832,1.68953854013441,2.61677538349882,0.40030731694427,NA,24852.0857002726,36.4128229898357,28813,81456,920.3944
272148,475278,2.42253061898594,1.63701967959806,28.3846700045308,0.29350345084894,3.74708476310625,186732,44898,174623,1.67985179454639,2.60844763403619,0.40076753909408,NA,29087.6983534796,41.9634081234054,28729,81337,869.35
279822,487935,2.45603677008252,1.67734252585396,27.5254299572467,0.358460745401,3.82125619480394,NA,47783,184371.6696,1.71933563146349,2.65317597053574,0.39590715554163,NA,30608.1422249728,41.5096522403371,28981,81173,642.25
290853,506450,2.44633323253343,1.66644119320556,27.5126139519445,0.3529489413473,4.01444028298848,196660,49509.0023,191610.774,1.712298516252,2.64839935356261,0.39422498935633,NA,37318.0954987939,44.3479531556471,29549,80992,639.5076
302640.8629,523504.6765,2.59712304917751,1.74716491134932,28.4029705309692,0.31128649659996,4.01271577360151,NA,53469.4765,200982.33,1.79850414171618,2.80272918286328,0.43377391928923,NA,41529.2957732519,42.6128720303183,29984,80764,701.3571
317306.8018,534974.9272,2.72644255674151,1.80161027155446,29.8170249273695,0.26183589753534,3.84197464699001,210995,58097.7288,218149.63,1.84023769652235,2.95064744797508,0.48252194607931,NA,40078.1636835438,43.0095530373551,29802,80483,644.3833
327996.4559,548722.7875,2.71366586753796,1.77799312240801,30.3654443437074,0.23471721765548,3.87986623546158,NA,61341.5451,231860.89857,1.8189111881119,2.87291444495188,0.49345669798377,NA,45207.9043903859,48.7529619756427,29851,80284,618.8274
338688.743,575099.4895,2.79562403714966,1.83351120449703,29.8871871373961,0.34863998111679,4.17912896989488,216320,64278.9824,241411.24,1.88956465121785,2.98577994039804,0.5000729702344,NA,53846.8299295216,51.257741735337,30394,80275,628.0112
352419,591260.8,2.86812621000196,1.89509875066165,29.2134599584393,0.38860135392097,4.3234840819494,NA,65537.5445,251940.14,1.95014610660344,3.0731703415332,0.50683151751467,NA,55773.2967625593,54.8701713952119,30803,80426,647.0119
354463.3935,588615.0285,2.82104519786005,1.84612596948596,29.0958492534429,0.30829238356342,5.15465341929528,221362,66264.25,261657.1,1.89531674592391,2.99339640196951,0.5060330262115,NA,55232.6798937382,52.175162180043,30940,80646,575.2667
351922.5047,605252.4947,2.88128531702195,1.90116735498965,28.70578249424,0.31199800957135,4.99891184671694,NA,61224.08,265910.93,1.94931137202327,3.06209559052648,0.50913721197489,NA,57025.6696538506,51.0191690919032,31123,80983,552.3096
387981.97322749,640515.77509549,2.92736855358116,1.92027652408013,27.8911256167236,0.35884110231368,6.15267206961203,252897,62790,270343,2.00974670438734,3.16216360637724,0.50413851789792,NA,53734.2854240667,54.5719839328816,31279,81687,579.2595
