"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
NA,NA,3.93369798848306,2.07548667856969,21.8454492770012,3.08705669498353,22.3057750387531,36189,NA,NA,3.16564448024131,5.22028779662412,0.61194777707501,0.65000548021288,NA,NA,1815.647,6303.8,115.3333
NA,NA,4.18883834230933,2.24670052299294,20.184234081567,2.88213363923143,23.2986590887365,36208,NA,NA,3.38505941436605,5.71289890664582,0.64535715179002,0.68645692101539,NA,NA,1801.236,6456.7,134.5333
NA,NA,4.13708742732752,2.19876851607937,19.2585311525757,3.80184185991571,23.7918858603713,32925,NA,NA,3.3124379715696,5.72738296004297,0.6660364716415,0.69855900953929,NA,NA,1783.653,6590.9,146.5
NA,NA,3.90174083649648,1.99787809098584,20.2650354061714,5.02616591589591,23.50401151478,31502,NA,NA,3.06043869355226,5.19327717915525,0.68116936282726,0.69739419221906,NA,NA,1793.829,6713.9,138.75
NA,NA,3.87665562042575,2.11356097118957,17.4779654675403,3.84567961598476,24.1561401196434,33280,NA,NA,3.11012282783939,5.24172367202169,0.61238913578745,0.64744139644062,1010.75230831589,19.2610300213861,1824.651,6836.6,166.6667
NA,NA,4.05007615495527,2.27767024493702,14.4601113029239,4.5981006669679,24.7040740268718,36759,NA,NA,3.3007433223096,5.48801884962819,0.60181466309671,0.64787125334053,1869.06990217706,32.3938045749287,1881.876,6961.2,161.4167
NA,NA,4.14519436084407,2.28006691907827,13.3765402126567,5.39989585312476,26.2184973294771,40494.63,NA,NA,3.39225587477873,5.59781619319162,0.613880129832,0.66073996222863,1900.68476165006,29.7982752433026,1943.071,7088.4,153.1667
NA,NA,4.42772125289351,2.50512774007294,12.1812937930279,3.48757593662216,27.7528726811475,45585,NA,NA,3.72051964306132,6.14462086486043,0.57269617459426,0.64536500984526,2148.5238028187,27.147606552718,2039.89,7218.5,138.6667
NA,NA,4.34578358120462,2.30136418793614,12.2036692179523,3.84595699940302,30.9941103616648,45720,NA,NA,3.60831446038623,5.97221045227327,0.60126333134751,0.61961087596378,2529.25819250005,26.953432355291,2127.803,7351.1,179.5833
NA,NA,4.13586716194346,1.55214000681544,12.839881842124,2.93407597219256,46.6972738273187,44414,NA,NA,3.45483565110561,5.75984147551628,0.55056490167621,0.52394760328537,2134.05673222111,24.8885656155836,2155.234,7482.1,166.1667
NA,NA,3.93944378874258,1.42451594481038,14.2414851689316,2.29066164020319,47.3078118329069,44084,NA,NA,3.27018307683181,5.56489315299774,0.54041041313181,0.51026446949929,2493.96131292667,27.0826636383967,2223.331,7620.8,129.1667
55184,70401,4.01679939037128,1.50001384886436,13.0340919073313,1.98237240490762,47.640026513266,48774,NA,NA,3.36576868001767,5.7293513009761,0.51832306429041,0.49900826088947,2634.48556306035,25.0931824171261,2268.74,7763.1,157.35
63521.267,77143.331,4.16088250658379,1.63783305011804,12.726225871458,2.29074484890858,45.6203929272134,56455,NA,NA,3.4991318809404,5.93979966265809,0.53244090335361,0.51302400605326,3660.52094651774,34.1895634343904,2330.335,7907.2,147.3333
NA,NA,4.14530732813252,1.53576446448475,12.4513131221101,1.25253399539895,49.2478873881056,54266,NA,NA,3.49273513334731,5.89678245018377,0.525272413349,0.50803060085033,3231.14044279711,26.6069782366262,2403.26,8056,152.7083
NA,NA,4.27009447644382,NA,NA,NA,NA,58688,NA,NA,3.61951056993353,6.21042061451758,0.52435690863532,0.50843462650764,3792.10358797348,29.2773004319999,2446.826,8212.1,126
NA,NA,4.25250221190385,NA,NA,NA,NA,NA,NA,NA,3.63009343825572,6.21104891884352,0.51984913772265,0.50719569625609,3512.25498477767,27.5079234983689,2493.96,8377.1,162.6667
