"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
647572,896847,2.90568609432966,2.10429974217115,19.5818751219827,7.57855425193096,0.41950617805062,NA,NA,259759,2.06191214833323,2.73686440436417,0.42215353536888,0.35968358059335,4113.44082155918,2.89646332958779,55097.93768,126831,713.8333
653021,869180,2.97183047963213,2.17094138679363,19.0118596224032,7.5208125011018,0.41669395686317,461962,35992,280710,2.18946491907343,2.93891612352887,0.42986491524938,0.36177742086596,4512.33233958518,3.52818169055787,54614.66972,127132,894.3667
623035,833788,3.01393971389157,2.23261746147475,18.3636035927823,7.17783407955226,0.38217503338743,460053,36052,281304,2.24363364756654,3.00098366594752,0.41838250712907,0.38113344891782,4320.29314762481,3.48334596125792,53702.33395,127400,1047.1333
652369,859453,3.04295337588793,2.27145519980862,18.0166383532962,7.0415967759038,0.29536319381706,497620,36268,284330,2.28151397543698,3.0468299878475,0.41566823638385,0.38379303714566,4862.82372438667,3.5946535327824,53488.15273,127634,1180.3167
653747,872752,3.02951846706134,2.26642556300284,18.0745958798163,6.79191813488948,0.32207962836371,490551,36725,291147,2.27793937946743,3.03467802956351,0.40676885643461,0.36279914174723,5246.59876710724,3.59660548232966,53645.2411,127734,1351.4167
680631,896855,3.18099382446586,2.42142201365761,16.7595962053262,6.77174545686608,0.3471077631894,519360,36675,295476,2.43179591126524,3.23342616733536,0.42638373328286,0.38171585521837,6384.67082126338,4.22073131584743,53832.59168,127755,1436.5667
684884,910375,3.27844306774393,2.52667772168865,16.1847653951721,6.39313776963272,0.35263943493399,527100,36268,301193,2.52949411412131,3.38767806908873,0.41617507753667,0.38167365339754,6065.28095386977,4.08365415804867,54012.18074,127838,1470.0833
684311,912202,3.33959602639291,2.59504649529555,15.6301164244363,6.33067279228855,0.33381507952304,535121,35618,302492,2.60123000660914,3.48799312174627,0.42057525444424,0.38574826373803,6033.87435627812,4.00146697740817,54388.2622,127980,1196.0833
656676,882739,3.33717996211752,2.60875656332237,15.619733236962,5.82926148141072,0.37851278858183,539591,35084,305847,2.61841115987092,3.55733749808487,0.38834031699063,0.37994667723673,5805.40767918522,3.45304945209878,54108.199,128045,1174.3333
655530,878418,3.23139850582532,2.43219074118337,17.6662847154787,6.64146668851557,0.42478919854988,534568,35971,308987,2.4481755910611,3.41258537410642,0.43334089205129,0.40264575557558,5716.58107007248,3.38165506449472,53018.57978,128034,1135.5333
656032,877928,3.13707537804742,2.38201720822002,17.1726345507168,6.4495293753459,0.44670527702423,537293,35693,312099,2.40030766223667,3.32862233129453,0.40381577919149,0.38052606365215,6038.62787455553,3.37699938948092,52598.20141,128043,1143.6818
656651,869825,3.24476642141925,2.48300446573472,16.4078273782385,6.58944237142317,0.47934601429484,534908,35234,313912,2.49726612380535,3.5075020508008,0.42866149038936,0.39780752673183,5197.03656234901,2.60118213430142,52314.0914,127831,1249.9167
646347,851132,3.20908393695455,2.44260635060971,16.8399922637147,6.5982199492407,0.44642295017399,528300,34829,315244,2.45889442561902,3.45535410729871,0.42861120113012,0.39981598408913,5622.6900530308,2.82453112620873,51774.14646,127552,1223.5167
660489,865523,3.31495982714583,2.5021058254812,17.2985380336256,6.69865886046395,0.52357097563565,531423,34287,317658,2.5223709178267,3.53346647158107,0.4463865099977,0.41852506361596,5919.82276871815,3.46370869329138,51949.8315,127333,1166.4333
682935,895285,3.40139673504666,2.62806999443253,16.0155121526143,6.277034817389,0.44301729529036,560466,34067,321571,2.64481465763931,3.70049418575405,0.42768352676521,0.41676046361379,4842.5698273446,2.93623150400789,52015.81402,127120,1225.0333
662071,875005,3.28644043900501,2.5625158798911,15.41297073443,6.13541074550592,0.47923692817617,540895,34151,322100,2.57956249533499,3.58626598745251,0.40241844801121,0.3904109846541,4978.73394902798,3.45632141955071,51956.83498,126981,1256.3333
