"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
108370,138077,2.1802324867448,1.57803022932231,23.9408799551663,3.62059402674701,0.05953712968645,94333,12491,51727,1.61443696840257,2.32287656608516,0.2458913518999,0.27490244568272,NA,NA,18236.3222351059,47008,113.5
136337,165715,2.3410843825368,1.69628921788949,24.9570886006728,2.11548093323611,0.47001583623522,111299,12735,53717,1.78352296084848,2.60128904164042,0.24365918691872,0.29426377311601,2642.65632408089,21.1765653016436,18522.4195463049,47370,145.8667
141917,172270,2.27381500012665,1.6417127410085,25.3802218875629,1.97870359163112,0.44026922586971,118160,12467,57634,1.70293891019346,2.48458506387142,0.23585828207485,0.31147313780672,2721.50327781279,19.6526700221488,18926.6941965043,47645,172.1667
151254,186215,2.35150095207231,1.74045291783248,23.8555199491774,1.71637985868032,0.41354721912858,124030,12636,59746,1.78929451694893,2.620839728966,0.23833105627678,0.34018608355275,3236.48888027933,20.2250276251409,18804.4564946648,47892,170.6667
156219.6913,194054.4933,2.53247774964211,1.89842585947951,23.1382856475285,1.40981497815888,0.48871915598968,134300,12588,61388,1.94282736531302,2.81717131017055,0.2548142120429,0.38804475720153,4147.50327965348,21.4115009528734,19053,48083,186.75
179812.4276,215345.1606,2.62616704789197,1.96856569376753,23.0247939120364,1.30584516259328,0.70970840259179,154306,13465,64895,2.01829718352076,2.94703432359471,0.2607404479226,0.40300611884814,4525.11432616725,19.1851196453949,19172.2,48185,196.75
199990.02107,237599.47587,2.83065823608728,2.13562803706954,23.072127705792,1.18067908863243,0.30085320300822,173904,14590,65923,2.18691365891742,3.21465888272793,0.28175156973529,0.42888602145262,4837.60245310844,16.8907588727986,19309.8,48438,213.75
221928.2309,269409.20806,3.00034921953136,2.20982692705485,24.7958958455108,1.32908623586872,0.22269396163944,185633,17459,83123,2.28753554394705,3.35508687175669,0.31958721708096,0.47147393755407,5103.49856292128,15.1509726236883,19475.5,48684,293.4286
236136.87096,294439.64921,3.12343118765348,2.2764016778027,25.4089930575632,1.40194919665068,0.30761611722269,197023,17277,82077,2.35402919459277,3.48018827024469,0.34810109116207,0.50132455239611,5669.91714960647,18.1126544818448,19456.4,49055,312.75
244076.773,309062.7221,3.29324002494383,2.34097917501297,27.3951696095237,1.31396358249658,0.20648919399302,210303,20607,88554,2.44557335984006,3.61166920280648,0.36504566522863,0.59469044110841,8438.1,28.4083536038939,18985.6,49308,312.9167
264117.936,335228.3581,3.46594143742077,2.48869216088099,26.7467954235252,1.23239503125772,0.21659110073258,226168,22018,93509,2.59251024730738,3.76975616803792,0.37504375954313,0.63154738609098,10234.2912545722,26.9787015535169,19237.5,49554,395.5
288900.96241,361374.17631,3.74361298390238,2.75949860409205,24.9029888513293,1.16068672337738,0.22414808633312,250626,23710,95750,2.86514862446452,4.14271007289714,0.37772103751761,0.67632174092675,9900.48101713256,21.9934516003899,19644.3,49937,496.25
315589.1929,395989.9928,4.02554328197758,3.00828291096192,23.8493969439332,1.07765237766601,0.34308938506863,275986,24822,96916,3.13787907380319,4.55795393204132,0.3830921465045,0.73710567642526,11051.9918951537,22.4521559500562,19925.4,50200,521.3333
321841.8477,401443.7103,4.14852846635485,3.13962273767155,22.8324530179996,1.18359489490486,0.3035569011185,281874,26153,97319,3.25720144700875,4.72719179393198,0.38338802797225,0.74614709460047,12038.3678934042,22.2260222625681,20135.1,50429,472.8429
345463.42683,430868.03707,4.28874332567582,3.23053287842715,22.9629494313671,1.00381395885111,0.70737462393462,304808,27508,99317,3.35476478206782,4.86878592140096,0.38806548681487,0.75652761558552,15539.9999525149,25.6738612786599,20504.7,50747,523.2286
356447.28999135,442027.05255067,4.23198557768437,3.15477096424747,23.6631836194567,1.0391708266521,0.75176380729082,317842,28986,99870,3.28093777099787,4.7616404326806,0.3835292382528,0.72639116830834,16408.9999845291,28.1402974498044,20777.6,51015,552.8333
