"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
3814,5449,0.43598325675746,0.12836398363514,41.4958765958729,NA,29.0613772805957,1282,800,4033,0.17551529965318,0.25698499551148,0.164090959122,0.12878002465882,NA,NA,700.11,2367.613,1
3497,5476,0.40320418610113,0.0736221796015,49.9526255423129,NA,31.7408866503765,923,769,4088,0.14667198204425,0.21203177986629,0.16975071165113,0.12607310663802,NA,NA,725.01,2337.7,0.625
3451,5294,0.4088804996993,0.08879070625994,42.6855090741221,NA,35.5989270080008,1140,744,4212,0.1672456398378,0.24091571886847,0.16402665221715,0.12359578661554,NA,NA,738.58,2310.375,0
3203,4858,0.36001315236995,0.11960763561864,46.4211358851786,NA,20.3557346732266,702,660,4151,0.12362850898667,0.18431788740967,0.15222685304844,0.11540670752025,NA,NA,742.08,2288.088,1
3324,5103,0.4001237427064,0.18518776634278,31.2199436308773,NA,22.529779273716,550,622,4452,0.177976079065,0.26434150210381,0.14423555571807,0.1175392796205,53.3379971617203,92.7421361454559,740.93,2263,0
3282,5483,0.52959381732988,0.18166270899842,46.0096569786738,1.22316175092105,18.4650486528973,606,773,4368,0.21571375703526,0.32232332223431,0.21487608654467,0.10664302852228,75.9160239648201,84.7103392440783,746.58,2238.75,0
3935,6417,0.65062298797411,0.3427832828661,38.2353152641446,1.53448502093133,7.5447161193724,992,1262,4945,0.32780712969441,0.50533721538156,0.22463937391587,0.11065583236438,91.5487671192137,65.6070086259736,797.24,2218.663,0
4157,6193,0.55379350215494,0.20131318090159,49.9261068585144,0.90981679776139,12.7374351686594,1033,1378,5412,0.18027742813356,0.2812087024366,0.23918984111774,0.13145442152499,150.466512042819,87.9204495772225,831.99,2201.025,1
4370,6533,0.58139022517749,0.15718011838003,47.3367251583429,2.51257807660495,23.1156194177391,759,1020,5668,0.14549364744745,0.22420896089103,0.27579504694526,0.18814856823483,172.47919581268,83.3476366353831,821.08,2177.725,0
3621,5485,0.45271069491968,0.16702703457816,44.7412882787751,3.00504517188783,15.3589111815089,438,838,5048,0.16475949737693,0.25442808514129,0.176096121056,0.1262150831008,119.555225002473,100.903437756658,688.76,2141.988,0
3896,5563,0.61078061561452,0.23717349892108,26.3636454909635,1.42860924178381,33.376627288335,901,784,4832,0.22606795083544,0.34272119537199,0.24431258073348,0.19195968576221,135.135506857062,93.0987366866525,643.72,2097.288,0
3947,5432,0.69662200131302,0.17310404235168,22.5351843799383,1.6096610774675,51.0060204972655,1001,915,5461,0.19342837163871,0.29459735193729,0.3406019506411,0.20464162485093,182.279417436989,91.9159887862494,652.74,2058.825,0
3904,5593,0.66424230383677,0.1576378052559,23.9225168273447,1.95750944979656,50.3881381407203,1138,964,5893,0.15005291375663,0.23115040261276,0.33428353137744,0.21479864420521,165.781423542857,88.7369431154922,663.44,2033.65,0.5
3625,5396,0.61220437989006,0.13341228063554,23.9426523297491,2.65232974910394,51.6129032258065,1117,944,5387,0.17290933740264,0.27013129477906,0.26191836985511,0.14891679891427,189.842376312434,102.508960573477,682.55,2012.813,0
3748,5739,0.68892110342648,0.19169610556032,25.6142506142506,2.33415233415233,44.2260442260442,1496,904,5539,0.24459238192906,0.38741504350041,0.27869831502799,0.20226741348244,169.821918842606,78.6240786240786,673.19,1994.25,1
3613,5570,0.62499310065889,0.1255731377555,32.6986211424819,2.23243598161523,44.9770190413657,1208,947,5672,0.15470938867262,0.24640039737783,0.31043255409287,0.21557816256449,156.378415785209,92.6412614980289,688.73,1977.312,1
