"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
1645.6,3662.9,1.5767294661967,1.4298453526928,7.66694146743611,NA,1.64880461665293,NA,264,36,1.46017540562871,2.0694029864494,0.00389957823462,NA,NA,NA,214.36,436.975,3.5
NA,NA,NA,NA,NA,NA,NA,NA,307,49,NA,NA,0.00630996358394,NA,NA,NA,226.819,441.862,5
NA,NA,NA,NA,NA,NA,NA,NA,331,NA,NA,NA,NA,NA,422.661799975216,NA,231.811,446.65,6
1949,4010,1.62594858138087,1.30709769705653,11.1554720526069,0.16439643024894,8.29027712541099,1609,365,49,1.44876677260662,2.15628300458543,0.00572786019744,NA,558.443476126297,116.204790981682,234.69,452.262,11
2030.8,4317.6,1.60261883023073,NA,NA,NA,NA,NA,NA,NA,1.40681081143774,2.10407470932181,0.01968819201758,NA,834.404276321916,150.100513736877,238.843,458.512,10
2227,4391.7,1.57170714034546,1.2530368578644,16.6101694915254,0.10593220338983,3.55932203389831,1807,431,205,1.35859430775624,2.03508394945749,0.02364220486537,NA,876.361737054171,149.300847457627,244.659,465.7,2
2054.2,4376.5,1.66674332404226,NA,NA,NA,NA,NA,482,259,1.43455281661135,2.09061447297484,0.03549409030791,NA,991.41828765097,140.248447204969,253.917,472.925,1
2200.6,4604.5,1.59122637155927,1.20955797716397,18.2386747802569,0.08451656524679,5.66260987153482,1640,543,287,1.33140137579756,1.93379219031578,0.04733871558391,NA,1403.29506766351,173.309668695064,266.08,480.7,4.5
2287.6,4651.5,1.62292952890117,NA,NA,NA,NA,NA,NA,367,1.26414355677176,1.84600461026247,0.09913822914102,NA,1683.67156579224,185.746606334842,279.153,489.225,5
2396.4,4711.1,1.67749709903721,1.17869403437863,24.2600116076611,0.10317920938931,5.37176758883085,1753,648,550,1.27297008531117,1.92218126532778,0.1344096308476,NA,1735.09970331876,201.360675823822,279.589,498.218,7.5
2613.08,4971.8536986,1.50257062281042,0.65299359756076,35.1426794765612,0.76330776875932,20.6387550107669,NA,721,541,0.99557437323864,1.46484432220481,0.18699126771761,NA,2180.39998236047,272.701673016399,283.125,507.538,4.8333
2830.93,5190.8330137,1.46277117620749,0.66269696964502,33.5430077383592,1.6910673234083,19.4654760009503,1679,816,619,0.96421501985676,1.42885691549753,0.15622970706165,NA,3193.55421187789,363.84225530567,290.445,519.425,9.5
2310.38,4743.2578082,1.27267391249497,0.23093461124438,45.0698122754085,2.34431691709913,34.4402477239134,NA,786,708,0.70366188683625,1.06251238927442,0.21485621757479,NA,4997.72835461958,692.853285735249,295.688,531.5,15
2503.49,4974.5885,1.30120949968483,0.21483565788584,48.3802551362717,2.76720102910334,32.3421015790503,1097,788,828,0.68290109532051,1.03123055291864,0.24167519004481,NA,6738.814479499,837.896413458643,299.116,545.325,14.5
2629,5242.6,1.2603338672042,NA,NA,NA,NA,NA,NA,NA,0.67719431670673,1.02379088526599,0.20679972567336,NA,7211.19590222824,863.020006351223,306.054,558.325,10.5
2868.6,5593.4,1.28214294161845,NA,NA,NA,NA,NA,NA,NA,0.65418770502355,0.97588267290958,0.23645967053644,0.48385943946621,6004.37663276273,817.439226936434,313.91,569.4,9.5
