"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
42194,91313,1.805557725399,NA,NA,NA,NA,26645,6492,18774,0.99495381209255,1.48708061191132,0.57648400552603,NA,NA,NA,6210,15922,155.6667
45599,92904,1.81562253511672,0.87519089734338,38.6943963027152,2.85384170999422,10.2484113229347,28313,7263,19115,0.98847063956903,1.46645089007843,0.57982445835501,NA,NA,NA,6301,16043,186.4
43875,91548,1.76885385469392,NA,NA,NA,NA,26256,7258,19399,0.91870390555328,1.38209032415083,0.61476114305128,NA,NA,NA,6266,16147,170.9167
43805,90147,1.80551087392016,0.84847958537197,40.3366856143419,2.28465238303454,10.3738522081329,24529,8627,20144,0.94814978556104,1.44777725205609,0.61696840750704,NA,15888.6108116598,153.889943594228,6146,16223,247.4167
48402,95702,1.80727145717345,NA,NA,NA,NA,31278,8532,20778,0.967860762417,1.486164108155,0.60026071737359,NA,17084.6297393108,145.309566268877,6046,16276,185.1667
47854,93599,1.79102617442161,0.8295317709202,38.8456815390913,2.83462955382726,12.003683995088,29228,7800,20754,0.94738173307259,1.45192142939404,0.6207742174341,NA,17274.3519375218,142.147481375358,6066,16317,218.2
53150,97835,1.75669702975767,NA,NA,NA,NA,36095,8084,20852,0.94611299489651,1.45597147571211,0.59304710537765,NA,15600.7564535334,122.22113022113,6217,16341,282.619
51057,93788,1.68634229063397,0.82262588051135,38.0293947012183,2.53335911815896,10.6555791916457,31039,8044,21023,0.89600182624576,1.37914590836648,0.58505087398904,NA,18862.2949136884,133.257590408045,6411,16378,306.9167
50727,93432,1.64308634886563,NA,NA,NA,NA,31489,7803,21677,0.8234206297924,1.27300257357921,0.62268936092984,NA,23413.0248372183,152.194629308703,6488,16440,301.2167
46958,87874,1.68539689736697,0.76092236940117,40.891621829362,3.1129900076864,10.847425057648,24212,7736,22557,0.79347086828384,1.22369370696781,0.67704116332545,NA,25969.6776331555,179.612797847809,6354,16526,281.0833
53703,100544,1.72474949011262,NA,NA,NA,NA,33479,7900,23450,0.82627091805065,1.26654481816174,0.69594877056968,NA,NA,NA,6234,16612,266.25
61334.864086,117435.51889,1.90305612283783,0.97278091593317,33.940304412813,3.61991231289578,11.3230091127232,51586.4392,8100.8237,24385,1.07659450654738,1.64783675633853,0.62124652955459,0.56535699906211,29427.7408746106,173.015786446163,6295,16693,234.0833
73235.1043,122215.08378,1.93944734191616,0.99996763395044,32.4263394146443,3.49161531631042,12.5226339069617,71200.035355,11581.179098,24403,1.09702680264243,1.66253758432931,0.61276717237788,0.53911363676523,30877.8074962639,192.062154755565,6273,16752,235.6667
76670.453531,123214.39677,1.9526750399848,0.99826597657902,33.3555812993623,3.35162730021791,12.169534448149,74631.683186,11314.679215,24590,1.0869125604368,1.66373540819533,0.62694137252048,0.55214189938537,33375.4146611432,197.214081099199,6188,16800,243.7167
76229.17606,124065.87482,2.00116132852092,1.02237642493002,33.1788358198287,3.07774266689919,12.6542655547786,75303.138277,11096.135339,25396,1.12116672261873,1.72564950501554,0.6428553476127,0.54899373119178,48838.6902732902,277.446572616573,6220,16863,233.7576
76976.88425,128327.13506,1.99427323152737,0.97123886360078,33.3602347762289,2.80997798972854,15.1283932501834,NA,NA,NA,1.10818968859782,1.72377300089898,0.64280254646598,0.54102452678076,50215.8930662451,330.595143558005,6323,16932,229.8333
