"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,471.198415676054,NA,1331.453953,3865,34.1667
10328.5,14963.5,1.1002773612611,0.41596419942042,47.0978675328343,10.0029983570823,6.68690862872476,3185,2192,11273,0.40710728520041,0.59608449839034,0.33858273834034,0.5035233426305,468.313025639158,78.661206044344,1362.4817,3900,27.0714
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,536.955379747934,NA,1410.082123,3970,40.3889
12363,18205,1.14891143375178,0.4393018781747,43.7718347187086,10.8601373328515,7.13167088302614,5383,2300,12498,0.46857482941413,0.69659777162786,0.36117147167513,0.40027127652212,675.919271218971,70.1120346946151,1447.136912,4045,40.25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,821.909852015645,NA,1491.637053,4101,38.5
12986,18929,1.12043992733343,0.45999656306771,43.2022348816827,10.6047326906223,5.20376862401402,4920,2200,15066,0.46644081111602,0.70743081605868,0.36388520646143,0.33816958805912,956.857986517333,74.4412795793164,1556.892265,4148,27.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1011.63657229984,NA,1597.701843,4197,38.8667
14600,21000,1.15657363054939,0.47097861864112,42.2026839426192,12.3091161499306,4.7663118926423,7200,2600,15500,0.49399234659745,0.75340788507061,0.34948754315074,0.34948754315074,1112.68285646828,70.0601573345674,1614.865646,4235,33
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1220.89496617983,NA,1635.0479,4271,48.8
16100,23200,1.25250965250965,0.48854568854569,44.7184545828196,11.1385121249486,5.21989313604604,8200,2700,16000,0.52303732303732,0.81429178254562,0.41287001287001,0.34234234234234,1080.65746523242,71.1056309083436,1577.86621,4318,41.4048
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1312.11674170149,NA,1587.412126,4363,31.4167
16300,23600,1.23100154285527,0.4919316641734,41.4095238095238,12.2285714285714,6.32380952380953,7200,2400,18500,0.55946089166717,0.88395251996858,0.39204468183886,0.31654325387707,1860.46776668535,89.7142857142857,1601.785366,4393,42.8333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1311.69200323127,NA,1600.822127,4418,28
17900,24900,1.15571357242472,0.45970282880804,39.7765363128492,13.1843575418994,7.22532588454376,7800,2500,19000,0.53631996694272,0.83895554747573,0.35166405537095,0.29097295156764,1209.60337435234,54.9348230912477,1646.912972,4460,34.3667
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1698.296213,4534,33.8333
18700,26400,1.27743242438085,0.55053524259697,37.0957711442786,11.5049751243781,8.24004975124378,9300,2400,19300,0.63633294274195,0.99969970175057,0.38132311175548,0.30704454727811,NA,NA,1730.496213,4623,26.3667
