"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
55174,78925,0.64202068987674,0.18944302252112,66.5478201038344,2.12464293905465,1.8181439085924,11796,12361,63997,0.23167682241189,0.33091778202677,0.20245397130519,0.20537217850861,1097.08184971497,99.414107295511,11246.1,38256,0
56148,77232,0.62284047565627,0.19165998910221,64.781803211198,2.00699876492384,2.43927542198436,11570,11762,66217,0.22317381967371,0.32227725063643,0.20384012800427,0.18905758397075,1104.08168250324,93.0424042815974,11290.2,38251,1.5
56725,76214,0.55784645087448,0.16766234219007,61.9239274657231,3.19548872180451,4.82529854046882,5882,16291,68587,0.11348141312681,0.16716549183798,0.18918898914162,0.18388439437565,1331.36167188177,120.123839009288,10818.8,38232,5
58595,77040,0.53883891102101,0.16308678023004,62.7199333070072,2.38032556710982,4.6334079241806,8452,14964,70969,0.14773089971983,0.21836830977302,0.17092430815789,0.17856087383117,1701.94712110206,145.210828835944,10597.9,38195,12.7667
60944,78362,0.55251431362853,0.1684025645461,61.6608150835063,2.70401334548911,5.15585901887378,10189,14377,71906,0.15846753130393,0.2291475852407,0.17654775352549,0.17486512150318,2027.36644969322,143.839931720753,10857.7,38180,4.5
62162.2,76761,0.5628147501989,0.18769914828142,57.7110054713427,3.19490537267916,5.74401291595659,11403,14094,72261,0.17871349705392,0.2592538889548,0.17772406579516,0.16638599126877,2327.451024834,135.087075073998,11096.8,38161,7.3333
59572.7,73554.3,0.55081957406078,0.18205798336923,57.4531631821884,2.45893293510725,7.03570458865056,11408,14511,70331,0.17370146865279,0.25232459618288,0.17076640643695,0.16357830820771,2984.82127080206,157.181187211512,11451.1,38132,7
61395.3,75309.1,0.56188715945116,0.19248824314482,58.6093211449123,0.41510564963285,6.71811778810131,11536,14956,70723,0.17057018116293,0.24643762173157,0.19051789104963,0.16472648734217,3994.50784876895,165.691563015136,12085.1,38116,9.8333
61805.2,74595.8,0.59920579688959,0.18250964761611,59.7921154395163,4.33027951519556,5.41901326204874,12130,14938,70371,0.18534775350312,0.26915698321058,0.20159104993589,0.17772763358731,4790.4899536161,149.768342373673,12554.5,38116,15.1333
61105,73580.7,0.66097122302158,0.17909092499096,60.4449883681187,6.96259054675355,5.49730427016836,12094,15462,70592,0.18836065669345,0.26769531597928,0.24499201287268,0.20265878059303,3780.35014435776,130.048049041335,12489.2,38153,14.5
64511.1,81842.5,0.72069616141181,0.17595691404604,60.9348898830668,2.83212687928419,11.8181294521995,13798,16236,70829,0.19189827419555,0.27603167273104,0.26804852701657,0.21254440260763,5459.17222166949,158.033083082122,12068.3,38517,12.6667
64132.8,85218.7,0.74588990517694,0.20971232686989,55.8027501347686,2.68938194699958,13.391290954675,14299,16098,70235,0.22476198499757,0.32149720415383,0.26182264249207,0.19808861748352,3639.1789145803,92.2615722145687,12185.2,38526,19.5
67000.8,90715.5,0.88087458389387,0.28456013040447,51.3310898842743,3.01611521016659,13.3485219014973,18882,15628,68923,0.32779711696142,0.46280915826806,0.30330944965248,0.22700032219955,3918.04966311398,88.8969614502993,12181.4,38534,21
71472.3,93750.8,0.87055977576619,0.32497365469972,47.2448314591162,2.30729766081061,13.1179023558286,24781,15633,69027,0.37971031637296,0.53709151693863,0.2547113727786,0.30434638284261,5284.06252049969,115.787074626659,12091.2,38502,26.5
78621.9,104359.2,0.9401734251941,0.36663286239958,45.2134436733836,2.42636780841405,13.3638871364778,28386,16050,70771,0.43798816540521,0.62007801090309,0.27415309846846,0.31518186454111,5709.52325351015,111.397242735741,12301.8,38484,32.3788
82594.3,109249.3,1.00375085935194,0.39150879692951,41.8239603116158,2.42847730154424,16.742429695416,NA,NA,NA,0.46747634246474,0.65999251452958,0.28983123188277,0.32002476392026,3112.97593314763,64.9718049687997,12515.8,38455,38
