"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
20476,33892,0.36444602480704,0.17841828944341,40.8028099496092,5.34542677595149,4.89573760839636,13274,5390,4515,0.25297931843992,0.34556077868515,0.04289015235871,0.05669902172001,6.00219612202701,4.39898637630881,9948.8,22435.21,0
19726,32639,0.38819721923615,0.18476833728847,42.959714844836,1.2443427339358,8.19943009895222,11656,5764,6177,0.23919301732822,0.32206683249999,0.04391982570364,0.07068881880075,3.01092967471923,1.90489501416045,9830.3,22408.39,0
20286,32799,0.37632582061194,0.15643779073577,48.4068120729245,2.97825800450255,7.04515655932482,11010,6082,7544,0.22679086680207,0.31054978338278,0.05857203695211,0.06762274782153,11.0239074185391,6.34416466554466,8701.1,21675.78,0
20965,33077,0.38340731662282,0.17401408021992,47.6291117577171,1.529201067731,5.45546926074246,10086,6270,9526,0.22306789406982,0.31579743562696,0.03613317696471,0.08590956681161,4.52709877501517,1.97227374162243,8692.2,21574.37,0
21257,33361,0.38306773613092,0.16838051904822,49.0377404389552,1.51103222909944,5.49541921589032,9264,6586,11218,0.21186294862744,0.292777763025,0.03870075530377,0.08043635395879,13.6350119735322,4.67009308072713,8472,21451.85,0
22958,33222,0.40747181991182,0.1516994803242,53.500245002788,4.01610259702955,5.25412702972137,10644,7267,11492,0.20260333616993,0.28998855673877,0.05569577897668,0.08556887563307,33.5317879004015,8.25405944274539,8321.2,21319.67,0
19021,29340,0.45123417778973,0.13722077795578,64.0973762966199,1.41065089966675,4.08186986604948,8036,5864,14597,0.2187941186896,0.30755582948195,0.07993618522883,0.14779125215451,57.7077115682425,10.352522221839,8260.5,21193.75,0
18808,28977,0.52057235499915,0.13987685588246,67.140655893558,1.44828425575302,4.54123963469103,7971,6100,16510,0.21673374250672,0.31045597997985,0.12545895726058,0.23887080196214,65.7848867015278,7.36680391395904,8243.6,20882.98,0
19394,30390,0.56841423165678,0.13223015675204,70.0976280739424,2.6705136377361,3.96886637367062,6623,6541,17579,0.17029352463163,0.23785352168802,0.16400048284793,0.28132223291616,111.201172488859,9.39712148153119,8223.1,20537.85,0
19271,28398,0.46166537518011,0.16044063066331,54.920410521077,1.98747765609759,8.33953142826594,6389,6010,18137,0.18550532904701,0.26207233282098,0.11420743598523,0.1954897998679,80.0177088372017,10.3525510340459,8019.5,20367.44,0
19780,26171,0.45206076783763,0.14587798669029,54.3978848685315,2.20682528495314,11.1257373728334,6182,5831,18540,0.17321834393463,0.24663304291003,0.11075949307814,0.1938643454507,101.010101010101,13.3003683083299,7999.6,20246.8,1
16080,29749,0.49315940691265,0.1844687958107,49.1296132164502,1.39900890976486,12.0658956592257,4122,6117,15086,0.17776340070345,0.2544975674798,0.11276077814578,0.21382445356303,119.398742048968,13.0614353943369,7930,20147.66,0
18016,31135,0.48251356767495,0.166017515574,49.945828494727,1.20439526471006,14.4429963435452,5451,6664,15569,0.18802426670057,0.27048018759537,0.09517486096398,0.19990718334715,121.100282567326,14.620249463228,7507.6,20060.18,1
18576,32507,0.38665867134359,0.11993354835471,52.2859352617795,1.19210286975436,15.5040235049075,5738,6859,14884,0.11855086468713,0.16915905046503,0.07623479895083,0.15397078386587,157.726305246025,21.2960278100401,7466.4,19988.69,3
18109,31391,0.38250184541168,0.12590368298072,48.5490254265275,1.53568062375707,16.9994572051323,5848,6799,14743,0.15856224619977,0.23058254645937,0.05821509028897,0.13495317473669,NA,NA,7556,19913.19,0.0455
17459,31331,0.48894952121543,0.18233644169822,41.6918933445374,1.78949573028717,19.2271454902626,NA,NA,NA,0.21513995643667,0.31285832655162,0.08529119633493,0.1464345445461,NA,NA,7334.3,19819.7,2
