"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
16632.81,19365.09,1.82154486799259,1.0017128884262,40.2741965496159,0.70576038703846,4.02755256652224,10163,1714,8923,1.12944715466838,1.38743741794962,0.43558813204372,0.21408079022867,6233.13720902805,357.056939312582,1913.88815292492,4028,23.5
16740.42,19452.51,2.020756492305,1.09509934426844,38.4052987363903,0.76751465327046,6.6346429546064,10292,1520,8833,1.2783451285834,1.58348995246949,0.47667842086839,0.31033254466351,6258.39101758224,346.872647078776,1913.8,4138,29.3333
18120.23,21870.71,2.0680675520865,1.0313236463585,42.2765961199051,0.66352401065329,7.19092634720364,10566,1846,9119,1.27031835813643,1.56211188801859,0.52497690700358,0.31871859077932,6335.90635480146,333.219801572698,1884.3,4176,24.8333
20023.85,23514.44,2.02636130973514,1.04497195199886,41.7718928831045,0.43943623211515,6.21978497195922,12048,1867,9598,1.23150391429383,1.51574039882214,0.53696914779048,0.3501753118417,8522.92621327646,433.599999771527,1866.2,4115,22
21359.22,25492.02,2.10458750116579,1.16371512782251,37.8760152584302,1.02927722223996,5.80049299140482,14069,1822,9360,1.34195210360514,1.61949039601253,0.53353217997741,0.39639542284536,10092.9558826865,419.986137759207,1934.6,4167,45.2
23789.31,28586.02,2.16066630798684,1.26942948876336,36.4100395274075,0.47221181651157,4.36598842031705,15964,2014,9991,1.42937789639465,1.70228497908468,0.52248427812933,0.44574085083509,11688.073311814,424.546098414394,2039.8,4266,51.5
25033.42,30129.06,2.13328380863159,1.24452618050972,36.3891922077415,0.89196038631823,4.38032838309972,16766,2069,10643,1.40225481337961,1.66092108488984,0.51033840057913,0.44005707283838,12644.6463035999,401.052196802787,2202.3,4401,61.25
27301.4,32197.78,2.33699243760369,1.39856654857143,34.8900644214614,0.94012795716195,4.32508899637774,17788,2292,11577,1.56128590414747,1.86860617013801,0.49152887852535,0.40617476903226,12566.3718771461,298.76203151554,2416.8,4589,64.75
27841,33165.02,2.62081615927642,1.66368338480771,29.8833948470269,1.34038644842622,5.29664360753491,18152,2416,12797,1.88249854401059,2.27742581864398,0.53811108905067,0.44542837451283,17472.8845534279,346.820535642661,2611.3,4839,62.1667
30530.24,35896.17,2.15924592328967,1.12584717892646,40.3773859279509,1.53657170430029,5.94528494947395,17371,2597,14419,1.33085014650287,1.60627056965222,0.58430078253972,0.4379841537494,17075.0421226633,410.998340276241,2628.9,4988,49.8333
32030.565,37012.955,2.01296993122617,1.06936012731069,40.2224985860753,1.78439612700203,4.86960300692091,17908,2309,16344,1.22459602743508,1.49334194892498,0.57982200080035,0.41551663054774,NA,NA,2728.1,5077,86.3333
33718.5,38996,2.1487152710667,1.18875288836835,38.0506142176277,1.62046049540176,5.00503457071894,18842,2449,16722,1.33512573236905,1.64391009726197,0.59483800616762,0.40960741268545,NA,NA,2832.5,5184,63.2889
34140.997,39458.976,2.00482168278145,1.07003705747082,38.5355858699864,2.18279064254322,5.90844488275597,18657,2401,17374,1.22181112777627,1.50935152124425,0.582394472972,0.39231999178119,NA,NA,2937.9,5312,78.5
36025.435,41582.17,1.99872742106348,1.05272072944956,39.3318130731871,2.16147385236671,5.83716352202581,19826,2588,17971,1.18777106257859,1.47411262041523,0.58440118956918,0.40874636794247,NA,NA,3058.7,5399,120.5
36665.597,42542.537,2.18376585834734,1.18150145786379,37.0924802867813,1.95793144123997,6.84573582233864,19916,2604,18210,1.33581516895976,1.65691043552366,0.59898080364095,0.42964059611011,NA,NA,3164.6,5470,105.8333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3189.8,5535,84.0833
