"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
4336,8568,1.35630221246599,0.72312128020667,40.0270199896359,0.44273715734388,6.21459730459478,1585,1919,2954,0.76383065707995,1.15330720122697,0.22527032645519,0.29904684405511,22.3327827819723,8.09383748945382,767.9,1989.4,0
4498,8608,1.46773491571949,0.80218662868721,37.0786954953337,1.09036006083063,7.1762094459527,1725,1845,2999,0.84807609959517,1.28374655643124,0.23847133011609,0.24449389151045,NA,NA,769.6,1991.95,2
4642,8615,1.43873426820777,0.86355287915757,35.6135168182108,0.69384076654233,3.67093456685899,1858,1939,3056,0.85864375924845,1.30059504405145,0.22365024673887,0.32111897661415,NA,NA,780.4,1995.03,5.5
3775,6805,1.24528025856767,0.64978304347348,37.4804658693718,0.46659973601864,9.8732713028814,1669,1221,2501,0.79601060626743,1.20135035408533,0.17064651226932,0.14602759401556,NA,NA,773.6,1996.28,6
4030,7132,1.3680599958159,0.8002550883784,29.9733142851745,0.43638471959581,11.0946874377144,1913,1313,2571,0.91626227892165,1.3765771499848,0.17668137904799,0.15222984394816,NA,NA,772.4,1997.27,3
5253,8994,1.41229207663829,0.77385581658416,37.2014355753699,0.74043370570743,7.26381236433612,2203,1846,3564,0.83088434625039,1.24928239038393,0.2365266192387,0.20110901835513,NA,NA,764.6,2000.81,4
5857,9793,1.53291001955202,0.90943157445601,34.408669060911,0.4573141738658,5.80688321815546,2660,1973,3609,0.92327200304543,1.37440382683027,0.23133106697664,0.17970152112875,NA,NA,776.6,2007.85,2
6250,10369,1.42382106971663,0.82963016402952,35.6057021837726,0.3686439831372,5.75746738326907,2901,2194,3623,0.85185754395845,1.25329594441887,0.22151994305575,0.18183695091949,NA,NA,806.5,2018.86,5.5
7032,11594,1.62563914521595,1.0210317527573,31.2993901931017,0.3037526254179,5.58883759348822,3475,2462,4164,1.04943613220495,1.55491766157306,0.2182635118847,0.1950399976544,591.057488078273,65.4024462946232,828,2021.97,3
7446,12410,1.81628607095718,1.05314844452698,35.6594954616638,0.31845916852304,6.03842366136856,3722,2472,4231,1.17346851377981,1.80596856143457,0.26452542195222,0.25242628052493,616.245178856847,67.531185600086,806.1,2041.66,11
7703,12940,2.05763302355831,1.20116081425696,35.2677554018945,0.34546921878645,6.01092310125989,3887,2457,4696,1.39526365733153,2.16082619561271,0.28624562832991,0.27124277254242,632.015350532963,63.972802174968,781.6,2048.82,6
8774,15269,2.4235833459987,1.48390160811238,31.5097438796993,0.24143028179205,7.02124975648968,5407,2153,4938,1.79010764431963,2.75842792826655,0.28574463533836,0.31715374619199,690.340409009951,55.534891814318,763.8,2052.84,7
8884,14974,2.57844885147663,1.60436089080693,28.674876603189,0.5402313461294,8.56301693622577,5480,2169,4695,1.95291448140539,3.02246543778802,0.28629211327119,0.34216568517757,666.586490057495,55.8867442416617,753.4,2056.77,8
8707,15229,2.60323374358176,1.66211024307668,26.8728978735528,0.36690689339187,8.9122888675747,5619,2165,4310,1.99219385005997,3.07409178395285,0.26885775096697,0.35099008119512,NA,NA,743.9,2059.55,6.5
8574,14866,2.38460864377755,1.63083084376988,21.7841763631145,0.56101137737768,9.26493838962113,5689,2077,4376,1.84428996317585,2.79799898404958,0.24740369764093,0.42715012483655,NA,NA,746.6,2061.8,6.5
7900,14225,2.21173688373204,1.53071652362767,19.8863796574303,0.34692709190693,10.5578944974335,NA,NA,NA,1.6867481819752,2.55323241995871,0.2238453805206,0.38808208596526,NA,NA,756.6,2063.3,6
