"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
76669.7,120617.9,0.88494978723404,0.44005988394584,38.643760049855,6.75124689892687,4.87789098350967,NA,17071,93919,0.47489330754352,0.68030182455783,0.26210924564797,0.14772920696325,3664.67564594034,69.5515010697697,12904.8,40554.387,41.0833
80080.6,125749.9,0.89019410230899,0.41996003019179,39.866523358894,5.28199305076137,7.67525212548841,21093,18687,99059,0.46617590718313,0.66481643819977,0.2752365880994,0.14258185519379,3924.41230950954,70.4265204811763,13363.7,40766.049,45.3333
83317.8,134258.3,0.96004980728371,0.46910773961414,39.0974371720842,5.21299811024839,6.82673810856355,30403,18137,101019,0.52400932618699,0.74981934084234,0.28586484769541,0.14731318264806,4118.97052849194,60.840979779352,13721,41423.52,72.3333
92522.7,151487.4,1.02219318159189,0.49428243921381,40.0681185374081,5.84470833927917,5.73208250883108,34105,21467,102572,0.55302960152936,0.80218770027892,0.31014882908179,0.19978953840333,5565.40050656436,60.0403431812548,14161.1,42196.231,73.9167
100994.4,161932.6,1.03849005131063,0.49889995588679,41.009490416746,4.79079420968211,6.15882762796815,40008,24245,105393,0.5647570290915,0.83037279410384,0.306662603608,0.19447691021801,6917.61623611654,62.2776083555105,14730.3,42859.172,69.2778
109720.3,174772.9,1.09577085343759,0.50722836424284,42.9911979861273,4.97487121294366,5.7442915576749,43627,28212,108823,0.58942982013097,0.87779355893904,0.31807821261469,0.19286810392815,6333.09351962417,49.9424496102794,15364.8,43662.613,89.8333
115798.4,188977.6,1.17217486760571,0.55176309111148,42.4879891550709,4.50364694501318,5.93662432581967,51273,27957,113075,0.65056529235873,0.97868016440859,0.32399035094159,0.18240849466355,7106.8136533802,47.9477518396017,15987.8,44360.521,102.8333
122624.1,201108.2,1.23448225261309,0.56115791255978,43.6551507570926,3.87627518006433,7.01162505559544,56505,30264,118769,0.68966076274487,1.0375178582365,0.32555254545909,0.20231715745734,9234.21543788838,50.567206415329,16564.1,45236.004,119.1818
130986.3,215676.4,1.31708482387227,0.59205416199683,45.5694164491759,3.77788689820074,5.70084072985465,62241,32653,122167,0.72329962094844,1.07593580250862,0.3522957289077,0.22469287106094,14278.1821891379,66.3022470251629,16501.1,45983.169,134.9667
133803.4,220777.3,1.3513638773199,0.58594798681043,47.1045176241301,4.07706913959141,5.45867303851779,61116,34277,125130,0.70133063462319,1.04620612522241,0.37610412658519,0.26083191542206,11422.7407771725,56.3898434457708,15148.2,46367.55,174.5417
134653,222021.7,1.34964192307799,0.58021598408012,46.6413612682083,4.63334876791271,5.73493217753354,59714,33884,129696,0.69445394772752,1.08156548300878,0.38144291747422,0.26220919851795,10764.7742595721,55.7145253832568,14732,46562.483,180.4167
130234.9,215078.8,1.3251235364294,0.5871867867823,44.4756956754127,4.53263357911362,6.67981895976695,59391,33278,127085,0.69098273283303,1.08354878216717,0.3738640140726,0.26563661603682,11989.8353042212,60.806344335234,14226.2,46736.257,169.75
126777.509,208831.38,1.28795419703431,0.58785963656928,43.1325918260981,4.57717291998149,6.64733749500471,59604.325,32192,123245,0.68230112199185,1.07945413186044,0.35733023662863,0.26610584575141,10592.0558681647,61.5589259087267,13547.8,46766.403,183.5
123224.687,203302.027,1.26865899531412,0.58745006503295,41.6268220579508,4.70669311036031,7.36167976170549,59359.634,31018,117925,0.67337821289076,1.08612135680328,0.35560416225908,0.2918996132371,9542.27920633303,55.233375126174,13090.4,46593.236,163.3667
122235.3861,200232.6396,1.2363015742147,0.57373901304212,41.3572213258806,4.82401568756115,7.41107209555904,59253.501,31094,119290,0.65420902099757,1.05281217072031,0.3474755352566,0.28055987550828,10729.5743772118,63.0790395487118,13203.7,46455.123,184.2455
122437.034,200865.8378,1.22455649321008,0.56138898831299,40.9297206584731,5.18541145262608,8.04059824495983,60209.922,32371,121161,0.64333985563,1.02755754974066,0.34296359808074,0.26877107179828,10097.2944176449,69.1187063467963,13638.2,46407.166,154.3929
