"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5635.08230743687,NA,2858,8872.1,161.4167
45995.373186,72189.687738,3.91382215025039,2.80746369238095,22.2931116429624,2.62615783303069,3.34654434237015,NA,NA,36538,3.03193056264199,4.90045393427857,0.76719139028219,NA,5959.74348612418,63.4696910382538,2937,8896,167.6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5911.29412964883,NA,2905,8925,173
48186,72978,3.61437728342607,2.3539597063769,24.3125665216538,3.30050737292427,7.25822285141517,30613,3399,37580,2.68737446058669,4.41100381555846,0.78664518350697,NA,6449.26964471305,53.8897791739432,2865,8958.2,175.5
48784,72459,3.3913404619775,NA,NA,NA,NA,NA,NA,NA,2.49394409854854,4.01531787694042,0.77825686290936,NA,7018.261995241,54.2161987154555,2833,8993.5,136.6667
55001,77557,3.38699957899835,2.16454698295906,24.4059224957348,3.56344950848972,8.1129661223495,42476,4734,34942,2.46619604368511,3.98277598391803,0.7449734328695,NA,7243.23701066918,54.9692806076854,2841,9029.6,141.3333
55729,78715,3.50032249883111,NA,NA,NA,NA,NA,NA,NA,2.61403299881481,4.20130762205605,0.72201499412245,NA,10817.0131147871,73.5732069565422,2889,9080.5,132.5833
45812,75318,3.25660521684062,2.04385552795178,24.6349141303133,3.02127183995828,9.58257273777149,33121,2843,35162,2.37642525006422,3.78508785913939,0.71381928043013,NA,11001.9715125681,69.2543633349477,2981,9148.1,125.5
50220,79549,3.49524840454847,NA,NA,NA,NA,NA,NA,NA,2.5882933605778,4.15211690197271,0.74489335957414,NA,12443.8619304646,69.269649085765,3040,9219.6,129.0667
47308,77363,3.4496484577053,2.05406158231588,26.9882406868708,3.18224290827031,10.2880767264329,33152,2217,37566,2.4468231651487,4.03080613116952,0.84947311988503,NA,10269.2735859647,69.2857698207014,2942,9298.5,99.6859
49312,77418,3.21611343655699,NA,NA,NA,NA,NA,NA,NA,2.21096967778922,3.5515417577453,0.84735939890807,NA,9846.34825481565,62.6885201445141,2983,9378.1,110.1845
48702,78445,3.24918632918164,1.87284446628637,27.4642493413799,3.8978528562651,10.9983250427156,32630,6394,40855,2.24433944642763,3.60399053703262,0.85454237665445,NA,11556.0731865448,63.1600821486588,3055,9449.2,109.4762
49280,81272,3.28134498480243,NA,NA,NA,NA,NA,NA,NA,2.22435410334347,3.58990081707112,0.88979049066435,NA,12834.0488257162,71.9131294919404,3082,9519.4,111.1607
64194,80957,3.30604797091919,2.01524758289922,28.273759377382,4.05905243310467,6.71079552292695,48961,9527,42894,2.27947146734842,3.70325839680034,0.89739566657975,NA,13424.672607572,70.1632262205641,3108,9600.4,97
66643,83473,3.14587334003922,NA,NA,NA,NA,NA,NA,NA,2.1090773310574,3.42332491839655,0.91136546062324,NA,16632.4989050087,92.1387499192559,3140,9696.1,87.65
65333,82156,3.28013923598629,NA,NA,NA,NA,NA,NA,NA,2.28590398275288,3.67592365389334,0.87214811922302,NA,15751.5855515551,96.876406894842,3177,9799.2,105
