"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
26105,52285,2.32682864449229,1.60752798624175,23.1850117096019,3.4192037470726,4.30913348946136,17450,770,26010,1.71978248290812,2.40025362740839,0.53107284554903,0.64969362457535,5336.90974735655,84.4327868852459,3209.286,7249.2065,167.8667
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3957.77472942585,NA,3265.674,7280.452,248.4762
NA,NA,NA,NA,NA,NA,NA,NA,985,25930,NA,NA,0.58749874145365,NA,7887.30966583954,NA,3271.879,7333.734,315.1762
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9758.40928822804,NA,3239.193,7387.9925,280.8333
25400,52250,2.67691607363561,1.86668918569933,22.7099236641221,2.32824427480916,5.22900763358779,13965,960,28295,1.9739701733832,2.7763747624668,0.61206684044544,0.76712377335829,12844.771628373,121.926870229008,3237.613,7438.4,309.1167
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13893.7714327016,NA,3250.236,7482.37,319.6667
NA,NA,NA,NA,NA,NA,NA,NA,980,29640,NA,NA,0.59782820933317,NA,14030.9156114667,NA,3319.46,7525.1405,306.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15710.9603391744,NA,3411.339,7588.6625,312.1667
25141.6998,62065.6929,2.72857911867956,1.86062312295235,22.840490797546,3.01840490797546,5.95092024539877,11237,1034,33603,2.0054219534835,2.75901062452915,0.65619519813694,0.72697767509334,17227.7557728351,114.473680981595,3484.719,7680.1115,382.8333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19291.1456948351,NA,3478.071,7774.538,358.6333
NA,NA,NA,NA,NA,NA,NA,NA,955,38309,NA,NA,0.72762444354578,NA,21172.1358402177,NA,3462.843,7855.6735,362.25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26435.9897999077,NA,3529.864,7912.398,411.3333
35785.1621,75475.8133,3.20163027664687,2.03730553240216,23.5694897985817,1.60808472454694,11.1890463430425,17903.9331,980,41395,2.28920229536711,3.21611186315827,0.83171814859914,0.9363595621922,28802.961705806,135.272347191062,3560.686,7996.861,397.8583
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30114.8680113578,NA,3592.766,8089.3455,381.575
NA,NA,NA,NA,NA,NA,NA,NA,1089,NA,NA,NA,0.87102021973115,NA,36019.3945068803,NA,3648.655,8188.6485,385.2055
43739.5024,81451.0469,3.41705136579593,2.16900154525953,24.3685500985433,1.94415127879554,10.2114736183652,23807.2557,1095,45932,2.42583676962944,3.44881758429299,0.90015152796591,1.28798082549548,33998.8059284666,148.328847968053,3682.476,8282.396,413.3429
