"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
23083,27003,0.46783461600147,0.20077394430851,50.603133014829,5.24911421735116,1.23217161127746,5062,3156,59294,0.15644383982841,0.21890652776171,0.28243075282723,NA,NA,NA,16396.8324779398,64252,1
22702,27698,0.5263814189182,0.23620256975656,48.0025534840105,6.29386787606163,0.83068585393394,5038,3489,58663,0.17758988139091,0.25144361473958,0.31004278756899,NA,NA,NA,16391.2656461777,65133,1.25
23995,28964,0.51293795328227,0.21173928641119,50.5671791805257,6.85735632505922,1.29575706464194,5277,3804,62207,0.1471963711122,0.21061190144892,0.32976398033663,NA,NA,NA,16341.3497213768,66008,1
32660,38308,0.46944848878629,0.17000029702966,57.0180053504517,5.20868650502348,1.56053909947374,6090,4569,63861,0.109046021254,0.1581736045671,0.31140273844898,NA,NA,NA,16213.1270297881,66873,2
33876.55,39960.148,0.50214874498836,0.19039437633528,56.9623810737904,4.75186584372046,0.36982115285807,6841,4734,65535,0.12141546319576,0.17664842511589,0.34078789942104,NA,NA,NA,16523.38512,67723,1
39138.981623,49251.434896,0.5693074547631,0.24654268504971,50.1359627953257,5.77120489388011,0.78711359115663,10952,5400,67504,0.19260587227286,0.28121304534629,0.31092167226884,NA,NA,NA,16853.73691,68566,1
42663.48028,54443.922865,0.5574920228162,0.25670077937411,48.6308024618538,4.85364740488988,0.46990842729997,13631,5468,71019,0.20641545415568,0.30270474894752,0.28597449874897,NA,NA,NA,17144.25613,69395,0
49667.8603,63376.5622,0.69181705220318,0.33515350537989,47.0695481999091,3.97626994513459,0.50878660016284,17055,5786,79120,0.2854740238318,0.41790963768654,0.33333106179573,NA,NA,NA,17324.19412,70215,1
52810.8569,67244.1043,0.6929198811269,0.32742900347014,31.6226237907346,19.811525472867,1.3123352307329,20548,5692,80183,0.30644909833461,0.44684409121844,0.30367380938524,NA,NA,NA,17673.467,71095,2
57758.5616,73520.5207,0.80939937767811,0.33158954473419,33.9555795356377,23.9506071417346,1.12645482460077,24523,6632,83281,0.32378890062852,0.48504597528669,0.38387601978927,NA,NA,NA,17746.35083,72050,2.5
64340.964,81791.5423,0.79892051076119,0.36050724201445,30.8208792499832,23.2270093185827,0.82781719207765,29800,7099,87897,0.33990180065943,0.51182742302107,0.367581613745,NA,NA,NA,18923.58983,73003,3
72108.5984,92801.0965,0.79988041939953,0.36654494791174,29.2494449016634,24.2390854388561,0.68650144899435,35191,7073,95188,0.34545366672965,0.50856889399509,0.3638190659337,NA,NA,NA,20017.9523,73950,2
82122.437454,105121.76198,0.83216509166995,0.38923821753888,28.1928985392499,24.440908669599,0.5920344558013,39296,7359,108478,0.37531499050163,0.5496497070725,0.36530719866633,NA,NA,NA,20406.37593,74898.5,4.25
89074.86057,112969.06935,0.81821378398586,0.39990068707437,26.5536674163614,23.7412203923741,0.83027100116011,45605,7083,113409,0.38854330145837,0.56881087868928,0.34438107558428,NA,NA,NA,20991.5893,75774.2,7
89657.26224,115444.14696,0.86076846036496,0.4378472231727,26.2576642509032,21.7934230128318,1.0818975815311,48247,7251,126046,0.4284747362916,0.61935909899876,0.34887830389007,NA,NA,NA,21576.61439,76619.1,11
95160.76256682,122288.39637808,0.88192444529773,0.44182781229927,27.5553314032281,21.2800910968081,1.06642967618918,51069,7199,132516,0.44100986747466,0.63508387195474,0.3495928225541,NA,NA,NA,22039.56986,77439.6,10
