"Total researchers (FTE)","Total R&D personnel (FTE)","GERD as a percentage of GDP","Business-financed GERD as a percentage of GDP","Percentage of GERD financed by government","Percentage of GERD financed by other national sources","Percentage of GERD financed by the rest of the world","Business enterprise sector: Total researchers (headcount)","Government sector: Total researchers (headcount)","Higher education sector: Total researchers (headcount)","BERD as a percentage of GDP","BERD as a percentage of value added in industry","HERD as a percentage of GDP","Basic research expenditure as a percentage of GDP","Technology balance of payments:  Payments (current prices)","Technology balance of payments: Payments as a percentage of GERD","Industrial Employment","Population","Patent applications filed under the PCT"
170554.39,288598.75,1.63924567683416,0.79186723941887,30.2291455017496,5.49102607517779,15.9730217857546,NA,15351,NA,1.06485402479315,1.71051028094329,0.33492866896636,NA,9218.81639152862,34.3887571960718,20817.64,58886,638.6833
182143.84,299205.21,1.6318407960199,0.74327912009459,28.8636115060702,5.86240839986875,19.7254730394838,NA,9893,NA,1.06891551212547,1.72509890730294,0.3683210189771,NA,9895.55966630918,37.591600131248,20959.126,59113,593.541
198162.98,308775.7,1.63968508986468,0.7134341646115,28.8842197235253,6.08597967526186,21.5193625895838,NA,9848,NA,1.06332483976491,1.71798252684283,0.39141202255819,NA,10303.8962466341,35.7555206523887,21005.79,59366,605.8333
216689.87,315845.95,1.60152247697893,0.67562531741746,31.7487599318528,5.77391811278464,20.2908820440143,NA,10016,NA,1.02030747338523,1.65105066149867,0.38321464585584,NA,9647.78010441285,29.6963026620632,21042.772,59637,562.3889
228969.09,318886.02,1.55172836611044,0.68372118687322,32.9166687244729,5.87215590598624,17.1492633876759,NA,10004,NA,0.97081404028282,1.57520781392804,0.38198873208044,NA,13028.6718664177,35.1440382060539,21103.505,59950,468.75
248599.3,324916.5,1.57171988688303,0.66106446232104,32.7283545191226,5.94016936331937,19.2715347858975,95661,10188,255049,0.96484341302411,1.56338905007459,0.40249252372716,NA,13949.1331791915,35.3854952677896,21261.153,60413,411.4595
254009,334803.7,1.5940092495143,0.7204440096617,31.8685865250764,5.89360904361917,17.0408264412945,95789,9736,NA,0.98276776464575,1.59004465943017,0.41418990252386,NA,15227.6044797174,35.6676478573984,21386.052,60827,420
252650.8,343854.9,1.63283037971376,0.75034897347295,30.921827829657,5.84513152604068,17.2791565588878,91457.4615,9981,271360,1.02102005369426,1.64665525752735,0.42428358709199,0.2560256155776,17153.8335840034,34.2963391728322,21594.102,61319,376.5742
251931.7,342085.5,1.63919950238197,0.74457061266343,30.6635969728575,6.16776563322224,17.7458190254743,87891.2,9832,NA,1.01620785525606,1.65181414241759,0.43207556660967,0.25842195734473,18205.1735746473,38.621420805749,21749.748,61824,420.5095
256124.1127,347486,1.70215846561177,0.75809877068088,32.5538594781856,6.26942884981209,16.6392149584745,86306.8314,9821,284277,1.02826071647869,1.66148604315568,0.47256161345663,0.28433459558977,17207.7714880244,42.7086716466385,21102.359,62260,372.7705
256584.957,350766.363,1.67650382622156,0.73848333703247,32.2784071769972,6.04783210682043,17.6246111827631,90178.2043,9714,290736,1.02181388276429,1.67322736247532,0.45128081489888,0.29723199970631,18435.3843827836,45.2583263788787,20981.407,62759,344.0833
251357.6,356258.3,1.68151674718137,0.77109258024141,30.4521232884217,5.92701892277856,17.7638907657863,108614.528,8617,307065,1.06911981644367,1.76920872317202,0.43586114777299,0.27418532141289,17826.1048835234,40.6359456093383,21152.846,63285,362.2667
256156.4,356484.4,1.6122561556592,0.73533590759407,28.6743686588166,5.87536103088203,19.8411464119085,113509.3,8752,315229.8,1.02126869503129,1.69658158650566,0.42792505451794,0.26881276980819,18598.9353195606,43.5977190254018,21480.883,63705,358.9833
267698.5,377342.9,1.65990539003186,0.76701447432487,29.1237086624808,5.99166756132447,18.6762989565404,123683.9,8714,330382,1.0604847309353,1.73554480967882,0.43526761514909,0.27708133387045,21788.117773332,48.2664995099584,21677.334,64106,368.4861
276583.8,396280.8,1.67900882314209,0.80667003204425,28.3634426593812,6.05400070589158,17.5381377534347,133891.3,8873,342696.3,1.09383367718713,1.79011020884275,0.42940847940897,0.28166714024894,22995.4232637725,45.6705316409365,22326.833,64597,389.0742
289330.4,416538.2,1.70056933413217,0.82294466747192,27.9811472424231,6.03734127133653,17.5892083349034,NA,NA,NA,1.11771446761225,1.84055285492572,0.42405056924283,0.27890066218854,21280.4158738361,44.0428761145893,22825.599,65110,437.4373
